col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27
30882,617645,532,3.578,0,486.546,0.000,0.000,45.454,1.000,0.000,4,526.548,6.685,29.902,-0.234,0.184351,29.424,526.527,6.653,29.566,-0.357,0.177406,29.694,24.426,526.770,25.969,35
30883,617665,524,3.672,0,486.202,0.000,0.000,37.798,1.000,0.000,4,526.078,-2.548,25.842,0.109,0.184351,29.424,526.000,-2.527,25.587,-0.013,0.208436,25.587,20.254,526.324,25.969,35
30884,617685,519,3.562,0,486.202,0.000,0.000,32.798,1.000,0.000,4,524.773,-7.078,22.578,0.289,0.184351,29.424,524.361,-7.000,22.275,0.172,0.234103,22.305,17.083,524.527,15.938,35
30885,617705,531,3.680,0,486.202,0.000,0.000,44.798,1.000,0.000,4,525.921,6.227,18.710,1.086,0.184351,29.424,526.039,6.639,18.808,0.990,0.252643,19.788,14.789,526.150,14.674,35
30886,617727,530,3.516,0,486.202,0.000,0.000,43.798,1.000,0.000,4,526.535,4.249,17.604,1.322,0.184351,29.424,526.789,4.215,17.703,1.238,0.238186,19.236,14.654,526.846,15.938,35
30887,617747,529,3.602,0,486.202,0.000,0.000,42.798,1.000,0.000,4,526.989,2.465,17.464,1.279,0.184351,29.424,527.312,2.211,17.559,1.190,0.236664,18.974,14.484,527.316,16.607,35
30888,617767,530,3.820,0,486.374,0.000,0.000,43.626,1.000,0.000,4,527.544,3.011,17.466,1.443,0.184351,29.424,527.928,2.688,17.516,1.345,0.229109,19.326,14.898,527.864,18.026,35
30889,617785,520,3.648,0,486.374,0.000,0.000,33.626,1.000,0.000,4,526.153,-7.544,21.282,0.977,0.184351,29.424,526.361,-7.928,21.582,0.866,0.197619,22.332,17.919,526.135,16.607,35
30890,617805,523,3.656,0,486.374,0.000,0.000,36.626,1.000,0.000,4,525.572,-3.153,20.950,0.547,0.184351,29.424,525.651,-3.361,21.297,0.433,0.211368,21.485,16.943,525.449,16.607,35
30891,617825,519,3.641,0,486.031,0.000,0.000,32.969,1.000,0.000,4,524.360,-6.572,20.199,0.596,0.184351,29.424,524.181,-6.651,20.497,0.485,0.220971,20.733,16.151,524.042,16.607,35
30892,617845,527,3.633,0,486.031,0.000,0.000,40.969,1.000,0.000,4,524.847,2.640,20.359,0.736,0.184351,29.424,524.791,2.819,20.710,0.643,0.216294,21.124,16.555,524.686,16.607,35
30893,617865,530,3.695,0,486.202,0.000,0.000,43.798,1.000,0.000,4,525.797,5.153,20.481,0.750,0.184351,29.424,525.908,5.209,20.922,0.668,0.214373,21.368,16.787,525.842,16.607,35
30894,617885,522,3.727,0,486.202,0.000,0.000,35.798,1.000,0.000,4,525.097,-3.797,21.357,0.462,0.184351,29.424,525.090,-3.908,21.832,0.386,0.209219,21.980,17.382,525.007,16.607,35
30895,617905,519,3.609,0,486.202,0.000,0.000,32.798,1.000,0.000,4,523.973,-6.097,20.487,-0.223,0.184351,29.424,523.752,-6.090,21.024,-0.288,0.219675,21.107,16.470,523.702,16.607,35
30897,617947,528,3.812,0,486.546,0.000,0.000,41.454,1.000,0.000,4,524.489,4.304,22.900,-0.075,0.184351,29.424,524.422,4.465,23.561,-0.098,0.198577,23.571,18.890,524.400,15.938,35
30898,617967,527,3.664,0,486.374,0.000,0.000,40.626,1.000,0.000,4,524.952,2.511,22.802,0.189,0.184351,29.424,524.943,2.578,23.466,0.174,0.202211,23.496,18.745,524.972,15.938,35
