seq,timestamp_ms,tof_distance_mm,tof_signal_rate,tof_range_status,us_distance_mm,encoder_distance_mm,encoder_speed_mms,sensor_disagree,tof_meas_rate,gt_distance_mm,scenario_id,fixed_estimate_mm,fixed_residual,fixed_residual_var,fixed_residual_mean,fixed_kalman_gain,fixed_innovation_cov,cm_estimate_mm,cm_residual,cm_residual_var,cm_residual_mean,cm_kalman_gain,cm_innovation_cov,cm_R,tinyml_estimate_mm,tinyml_R,tinyml_infer_us
0,7,527,3.633,0,0.000,0.000,0.000,527.000,1.000,0.000,4,527.000,0.000,0.000,0.000,0.000000,0.000,527.000,0.000,0.000,0.000,0.000000,0.000,24.000,527.000,24.000,0
1,27,534,3.602,0,492.205,0.000,0.000,41.795,1.000,0.000,4,530.571,7.000,0.000,0.000,0.510204,49.000,530.571,7.000,0.000,0.000,0.510204,49.000,24.000,533.207,3.196,35
3,65,528,3.562,0,492.376,0.000,0.000,35.624,1.000,0.000,4,526.641,1.899,0.000,0.000,0.284325,33.535,526.641,1.899,0.000,0.000,0.284325,33.535,24.000,526.139,3.534,35
4,85,533,3.672,0,492.376,0.000,0.000,40.624,1.000,0.000,4,528.204,6.359,0.000,0.000,0.245848,31.824,528.204,6.359,0.000,0.000,0.245848,31.824,24.000,529.170,3.196,35
5,105,524,3.586,0,492.376,0.000,0.000,31.624,1.000,0.000,4,527.265,-4.204,0.000,0.000,0.223310,30.900,527.265,-4.204,0.000,0.000,0.223310,30.900,24.000,527.134,3.714,35
6,125,523,3.594,0,492.376,0.000,0.000,30.624,1.000,0.000,4,526.372,-4.265,0.000,0.000,0.209471,30.359,526.372,-4.265,0.000,0.000,0.209471,30.359,24.000,525.283,3.037,35
7,145,521,3.727,0,492.376,0.000,0.000,28.624,1.000,0.000,4,525.294,-5.372,0.000,0.000,0.200728,30.027,525.294,-5.372,0.000,0.000,0.200728,30.027,24.000,523.410,3.037,35
8,165,524,3.672,0,492.376,0.000,0.000,31.624,1.000,0.000,4,525.041,-1.294,0.000,0.000,0.195103,29.817,525.041,-1.294,0.000,0.000,0.195103,29.817,24.000,523.666,3.037,35
9,185,519,3.703,0,492.376,0.000,0.000,26.624,1.000,0.000,4,523.885,-6.041,0.000,0.000,0.191442,29.682,523.885,-6.041,0.000,0.000,0.191442,29.682,24.000,521.705,3.196,35
10,207,530,3.641,0,492.376,0.000,0.000,37.624,1.000,0.000,4,525.049,6.094,0.000,0.000,0.187460,29.537,525.049,6.094,0.000,0.000,0.187460,29.537,24.000,525.775,3.196,35
11,227,521,3.641,0,492.376,0.000,0.000,28.624,1.000,0.000,4,524.294,-4.049,0.000,0.000,0.186414,29.499,524.294,-4.049,0.000,0.000,0.186414,29.499,24.000,523.927,3.714,35
12,247,519,3.625,0,492.376,0.000,0.000,26.624,1.000,0.000,4,523.311,-5.294,0.000,0.000,0.185721,29.474,523.311,-5.294,0.000,0.000,0.185721,29.474,24.000,521.733,3.037,35
13,265,529,3.672,0,492.376,0.000,0.000,36.624,1.000,0.000,4,524.365,5.689,0.000,0.000,0.185262,29.457,524.365,5.689,0.000,0.000,0.185262,29.457,24.000,524.814,3.196,35
14,285,524,3.641,0,492.376,0.000,0.000,31.624,1.000,0.000,4,524.297,-0.365,0.000,0.000,0.184956,29.446,524.297,-0.365,0.000,0.000,0.184956,29.446,24.000,524.498,3.714,35
15,305,526,3.703,0,492.376,0.000,0.000,33.624,1.000,0.000,4,524.612,1.703,0.000,0.000,0.184754,29.439,524.612,1.703,0.000,0.000,0.184754,29.439,24.000,525.148,3.196,35
16,325,514,3.656,0,492.376,0.000,0.000,21.624,1.000,0.000,4,522.653,-10.612,0.000,0.000,0.184619,29.434,522.653,-10.612,0.000,0.000,0.184619,29.434,24.000,520.790,3.714,35
17,345,532,3.602,0,492.376,0.000,0.000,39.624,1.000,0.000,4,524.378,9.347,0.000,0.000,0.184529,29.431,524.378,9.347,0.000,0.000,0.184529,29.431,24.000,525.381,3.534,35
18,365,518,3.578,0,492.376,0.000,0.000,25.624,1.000,0.000,4,523.201,-6.378,0.000,0.000,0.184470,29.429,523.201,-6.378,0.000,0.000,0.184470,29.429,24.000,522.087,3.037,35
19,385,519,3.695,0,492.376,0.000,0.000,26.624,1.000,0.000,4,522.426,-4.201,34.715,-1.322,0.184430,29.427,522.576,-4.201,34.715,-1.322,0.148845,36.463,31.035,520.852,3.534,35
20,407,523,3.594,0,492.376,0.000,0.000,30.624,1.000,0.000,4,521.716,1.574,26.179,-1.236,0.184386,29.426,521.964,1.305,26.170,-1.257,0.206543,27.750,22.019,520.805,31.736,35
