seq,timestamp_ms,tof_distance_mm,tof_signal_rate,tof_range_status,us_distance_mm,encoder_distance_mm,encoder_speed_mms,sensor_disagree,tof_meas_rate,gt_distance_mm,scenario_id,fixed_estimate_mm,fixed_residual,fixed_residual_var,fixed_residual_mean,fixed_kalman_gain,fixed_innovation_cov,cm_estimate_mm,cm_residual,cm_residual_var,cm_residual_mean,cm_kalman_gain,cm_innovation_cov,cm_R,tinyml_estimate_mm,tinyml_R,tinyml_infer_us
0,7,532,3.625,0,0.000,0.000,0.000,532.000,1.000,0.000,3,532.000,0.000,0.000,0.000,0.000000,0.000,532.000,0.000,0.000,0.000,0.000000,0.000,24.000,532.000,24.000,0
1,25,519,3.703,0,492.376,0.000,0.000,26.624,1.000,0.000,3,525.367,-13.000,0.000,0.000,0.510204,49.000,525.367,-13.000,0.000,0.000,0.510204,49.000,24.000,520.474,3.196,35
2,45,534,3.555,0,492.376,0.000,0.000,41.624,1.000,0.000,3,528.437,8.633,0.000,0.000,0.355616,37.245,528.437,8.633,0.000,0.000,0.355616,37.245,24.000,527.512,3.534,35
3,65,536,3.617,0,488.089,0.000,0.000,47.911,1.000,0.000,3,530.588,7.563,0.000,0.000,0.284325,33.535,530.588,7.563,0.000,0.000,0.284325,33.535,24.000,531.189,3.714,35
4,85,526,3.500,0,488.089,0.000,0.000,37.911,1.000,0.000,3,529.460,-4.588,0.000,0.000,0.245848,31.824,529.460,-4.588,0.000,0.000,0.245848,31.824,24.000,529.169,4.093,35
5,105,528,3.602,0,488.089,0.000,0.000,39.911,1.000,0.000,3,529.134,-1.460,0.000,0.000,0.223310,30.900,529.134,-1.460,0.000,0.000,0.223310,30.900,24.000,528.600,2.735,35
6,127,523,3.648,0,488.260,0.000,0.000,34.740,1.000,0.000,3,528.885,-7.363,0.000,0.000,0.200728,30.027,528.885,-7.363,0.000,0.000,0.200728,30.027,24.000,527.779,3.534,35
7,147,523,3.531,0,488.260,0.000,0.000,34.740,1.000,0.000,3,527.737,-5.885,0.000,0.000,0.195103,29.817,527.737,-5.885,0.000,0.000,0.195103,29.817,24.000,525.827,3.534,35
8,167,524,3.555,0,488.089,0.000,0.000,35.911,1.000,0.000,3,527.021,-3.737,0.000,0.000,0.191442,29.682,527.021,-3.737,0.000,0.000,0.191442,29.682,24.000,525.035,3.196,35
9,185,530,3.586,0,488.089,0.000,0.000,41.911,1.000,0.000,3,527.584,2.979,0.000,0.000,0.189041,29.595,527.584,2.979,0.000,0.000,0.189041,29.595,24.000,527.348,2.735,35
10,205,532,3.555,0,488.089,0.000,0.000,43.911,1.000,0.000,3,528.412,4.416,0.000,0.000,0.187460,29.537,528.412,4.416,0.000,0.000,0.187460,29.537,24.000,529.115,3.714,35
11,225,529,3.477,0,488.260,0.000,0.000,40.740,1.000,0.000,3,528.522,0.588,0.000,0.000,0.186414,29.499,528.522,0.588,0.000,0.000,0.186414,29.499,24.000,529.070,3.714,35
12,245,539,3.656,0,488.260,0.000,0.000,50.740,1.000,0.000,3,530.468,10.478,0.000,0.000,0.185721,29.474,530.468,10.478,0.000,0.000,0.185721,29.474,24.000,533.028,3.714,35
13,265,527,3.492,0,502.323,0.000,0.000,24.677,1.000,0.000,3,529.825,-3.468,0.000,0.000,0.185262,29.457,529.825,-3.468,0.000,0.000,0.185262,29.457,24.000,530.614,3.714,35
16,327,532,3.586,0,492.205,0.000,0.000,39.795,1.000,0.000,3,530.236,2.163,0.000,0.000,0.184529,29.431,530.236,2.163,0.000,0.000,0.184529,29.431,24.000,530.871,2.735,35
17,347,527,3.633,0,492.205,0.000,0.000,34.795,1.000,0.000,3,529.639,-3.236,0.000,0.000,0.184470,29.429,529.639,-3.236,0.000,0.000,0.184470,29.429,24.000,529.255,3.196,35
18,367,528,3.539,0,488.260,0.000,0.000,39.740,1.000,0.000,3,529.337,-1.639,31.952,-0.081,0.184430,29.427,529.361,-1.639,31.952,-0.081,0.169820,31.959,26.532,528.677,2.735,35
19,385,538,3.516,0,488.260,0.000,0.000,49.740,1.000,0.000,3,530.935,8.663,26.258,1.002,0.184404,29.426,531.107,8.639,26.239,1.001,0.202111,27.241,21.735,529.370,28.142,35
20,405,535,3.562,0,488.260,0.000,0.000,46.740,1.000,0.000,3,531.684,4.065,23.763,0.773,0.184386,29.426,531.972,3.893,23.689,0.764,0.222183,24.272,18.879,530.166,18.778,35
21,425,531,3.570,0,488.432,0.000,0.000,42.568,1.000,0.000,3,531.558,-0.684,21.395,0.361,0.184374,29.425,531.737,-0.972,21.346,0.337,0.242066,21.460,16.265,530.316,16.607,35
22,445,532,3.531,0,488.432,0.000,0.000,43.568,1.000,0.000,3,531.639,0.442,20.107,0.613,0.184367,29.425,531.800,0.263,20.075,0.579,0.241891,20.411,15.474,530.688,14.078,35
23,465,532,3.555,0,488.260,0.000,0.000,43.740,1.000,0.000,3,531.706,0.361,19.888,0.704,0.184361,29.425,531.847,0.200,19.868,0.662,0.233570,20.306,15.563,530.957,15.938,35
24,485,525,3.570,0,488.260,0.000,0.000,36.740,1.000,0.000,3,530.470,-6.706,20.905,0.075,0.184358,29.425,530.331,-6.847,20.929,0.027,0.221461,20.930,16.295,529.739,16.607,35
25,505,536,3.625,0,488.260,0.000,0.000,47.740,1.000,0.000,3,531.489,5.530,19.211,0.720,0.184356,29.425,531.648,5.669,19.366,0.678,0.232448,19.826,15.218,531.182,14.674,35
26,525,520,3.570,0,488.260,0.000,0.000,31.740,1.000,0.000,3,529.371,-11.489,24.405,0.439,0.184354,29.425,529.524,-11.648,24.727,0.390,0.182375,24.879,20.342,529.066,18.778,35
27,547,525,3.562,0,488.260,0.000,0.000,36.740,1.000,0.000,3,529.863,-5.962,28.583,0.611,0.184353,29.424,529.956,-5.961,28.800,0.554,0.168730,29.107,24.195,530.211,28.142,35
28,567,529,3.688,0,488.260,0.000,0.000,40.740,1.000,0.000,3,529.704,-0.863,27.898,0.347,0.184352,29.424,529.783,-0.956,28.096,0.285,0.180375,28.177,23.095,530.037,29.294,35
29,587,523,3.570,0,488.260,0.000,0.000,34.740,1.000,0.000,3,528.468,-6.704,30.248,-0.018,0.184352,29.424,528.633,-6.783,30.454,-0.083,0.169587,30.461,25.295,528.862,25.969,35
30,605,525,3.539,0,488.260,0.000,0.000,36.740,1.000,0.000,3,527.829,-3.468,24.849,-0.715,0.184352,29.424,527.883,-3.633,25.009,-0.789,0.206379,25.631,20.341,528.246,28.142,35
31,625,534,3.570,0,488.432,0.000,0.000,45.568,1.000,0.000,3,528.966,6.171,26.609,-0.233,0.184351,29.424,529.065,6.117,26.805,-0.310,0.193232,26.900,21.702,529.720,15.938,35
32,645,521,3.492,0,488.432,0.000,0.000,32.568,1.000,0.000,3,527.498,-7.966,29.425,-0.640,0.184351,29.424,527.676,-8.065,29.630,-0.722,0.172252,30.151,24.958,528.293,25.969,35
34,685,530,3.516,0,488.089,0.000,0.000,41.911,1.000,0.000,3,528.486,1.857,30.002,-0.367,0.184351,29.424,528.563,1.746,30.159,-0.463,0.177053,30.373,24.995,528.937,24.943,35
35,705,524,3.430,0,488.089,0.000,0.000,35.911,1.000,0.000,3,527.659,-4.486,30.420,-0.699,0.184351,29.424,527.769,-4.563,30.542,-0.799,0.174005,31.180,25.755,528.048,24.943,35
36,725,528,3.609,0,488.432,0.000,0.000,39.568,1.000,0.000,3,527.722,0.341,30.121,-0.520,0.184351,29.424,527.810,0.231,30.268,-0.626,0.178787,30.659,25.178,528.040,28.142,35
37,747,530,3.547,0,488.432,0.000,0.000,41.568,1.000,0.000,3,527.883,2.596,26.304,-0.828,0.184351,29.424,527.994,2.514,26.389,-0.940,0.202222,27.273,21.758,528.079,25.969,35
38,767,523,3.539,0,488.260,0.000,0.000,34.740,1.000,0.000,3,526.983,-4.883,25.729,-1.275,0.184351,29.424,527.023,-4.994,25.845,-1.385,0.194505,27.762,22.362,526.877,18.026,35
39,787,526,3.508,0,488.260,0.000,0.000,37.740,1.000,0.000,3,526.801,-0.983,25.716,-1.290,0.184351,29.424,526.826,-1.023,25.843,-1.387,0.192658,27.767,22.418,526.679,18.026,35
40,805,527,3.531,0,488.260,0.000,0.000,38.740,1.000,0.000,3,526.838,0.199,25.676,-1.302,0.184351,29.424,526.859,0.174,25.829,-1.392,0.191568,27.765,22.446,526.749,18.026,35
41,825,522,3.680,0,488.432,0.000,0.000,33.568,1.000,0.000,3,525.946,-4.838,26.096,-1.562,0.184351,29.424,525.969,-4.859,26.239,-1.645,0.183113,28.944,23.644,525.657,16.607,35
42,845,522,3.531,0,488.432,0.000,0.000,33.568,1.000,0.000,3,525.219,-3.946,25.038,-1.424,0.184351,29.424,525.197,-3.969,25.135,-1.501,0.194596,27.388,22.058,524.886,18.026,35
43,865,524,3.625,0,488.432,0.000,0.000,35.568,1.000,0.000,3,524.994,-1.219,22.508,-1.762,0.184351,29.424,524.952,-1.197,22.452,-1.844,0.204718,25.852,20.560,524.699,18.026,35
44,885,533,3.508,0,488.432,0.000,0.000,44.568,1.000,0.000,3,526.470,8.006,21.597,-0.787,0.184351,29.424,526.831,8.048,21.568,-0.859,0.233518,22.306,17.097,526.179,22.095,35
