seq,timestamp_ms,tof_distance_mm,tof_signal_rate,tof_range_status,us_distance_mm,encoder_distance_mm,encoder_speed_mms,sensor_disagree,tof_meas_rate,gt_distance_mm,scenario_id,fixed_estimate_mm,fixed_residual,fixed_residual_var,fixed_residual_mean,fixed_kalman_gain,fixed_innovation_cov,cm_estimate_mm,cm_residual,cm_residual_var,cm_residual_mean,cm_kalman_gain,cm_innovation_cov,cm_R,tinyml_estimate_mm,tinyml_R,tinyml_infer_us
0,7,528,3.633,0,0.000,0.000,0.000,528.000,1.000,0.000,3,528.000,0.000,0.000,0.000,0.000000,0.000,528.000,0.000,0.000,0.000,0.000000,0.000,24.000,528.000,24.000,0
1,25,535,3.680,0,484.316,0.000,0.000,50.684,1.000,0.000,3,531.571,7.000,0.000,0.000,0.510204,49.000,531.571,7.000,0.000,0.000,0.510204,49.000,24.000,534.095,3.714,35
2,45,531,3.719,0,484.316,0.000,0.000,46.684,1.000,0.000,3,531.368,-0.571,0.000,0.000,0.355616,37.245,531.368,-0.571,0.000,0.000,0.355616,37.245,24.000,532.521,4.093,35
3,65,538,3.758,0,484.145,0.000,0.000,53.855,1.000,0.000,3,533.254,6.632,0.000,0.000,0.284325,33.535,533.254,6.632,0.000,0.000,0.284325,33.535,24.000,535.006,3.714,35
4,85,522,3.672,0,484.145,0.000,0.000,37.855,1.000,0.000,3,530.487,-11.254,0.000,0.000,0.245848,31.824,530.487,-11.254,0.000,0.000,0.245848,31.824,24.000,529.855,4.093,35
5,105,524,3.766,0,484.145,0.000,0.000,39.855,1.000,0.000,3,529.038,-6.487,0.000,0.000,0.223310,30.900,529.038,-6.487,0.000,0.000,0.223310,30.900,24.000,527.362,3.534,35
6,125,531,3.727,0,484.487,0.000,0.000,46.513,1.000,0.000,3,529.449,1.962,0.000,0.000,0.209471,30.359,529.449,1.962,0.000,0.000,0.209471,30.359,24.000,528.871,3.534,35
7,145,525,3.812,0,484.487,0.000,0.000,40.513,1.000,0.000,3,528.556,-4.449,0.000,0.000,0.200728,30.027,528.556,-4.449,0.000,0.000,0.200728,30.027,24.000,527.185,3.196,35
8,167,520,3.719,0,488.260,0.000,0.000,31.740,1.000,0.000,3,527.146,-8.838,0.000,0.000,0.191442,29.682,527.146,-8.838,0.000,0.000,0.191442,29.682,24.000,524.866,3.196,35
9,187,530,3.750,0,488.260,0.000,0.000,41.740,1.000,0.000,3,527.685,2.854,0.000,0.000,0.189041,29.595,527.685,2.854,0.000,0.000,0.189041,29.595,24.000,526.916,3.534,35
10,207,524,3.758,0,488.260,0.000,0.000,35.740,1.000,0.000,3,526.995,-3.685,0.000,0.000,0.187460,29.537,526.995,-3.685,0.000,0.000,0.187460,29.537,24.000,525.734,3.534,35
11,225,520,3.742,0,488.089,0.000,0.000,31.911,1.000,0.000,3,525.691,-6.995,0.000,0.000,0.186414,29.499,525.691,-6.995,0.000,0.000,0.186414,29.499,24.000,523.183,3.037,35
12,245,524,3.617,0,488.089,0.000,0.000,35.911,1.000,0.000,3,525.377,-1.691,0.000,0.000,0.185721,29.474,525.377,-1.691,0.000,0.000,0.185721,29.474,24.000,523.509,3.534,35
13,265,524,3.766,0,484.316,0.000,0.000,39.684,1.000,0.000,3,525.122,-1.377,0.000,0.000,0.185262,29.457,525.122,-1.377,0.000,0.000,0.185262,29.457,24.000,523.720,3.196,35
14,285,526,3.805,0,484.316,0.000,0.000,41.684,1.000,0.000,3,525.284,0.878,0.000,0.000,0.184956,29.446,525.284,0.878,0.000,0.000,0.184956,29.446,24.000,524.692,3.196,35
15,305,525,3.727,0,484.316,0.000,0.000,40.684,1.000,0.000,3,525.232,-0.284,0.000,0.000,0.184754,29.439,525.232,-0.284,0.000,0.000,0.184754,29.439,24.000,524.823,3.196,35
16,325,521,3.711,0,484.316,0.000,0.000,36.684,1.000,0.000,3,524.450,-4.232,0.000,0.000,0.184619,29.434,524.450,-4.232,0.000,0.000,0.184619,29.434,24.000,523.200,3.196,35
17,345,528,3.617,0,484.316,0.000,0.000,43.684,1.000,0.000,3,525.105,3.550,0.000,0.000,0.184529,29.431,525.105,3.550,0.000,0.000,0.184529,29.431,24.000,525.422,2.735,35
18,365,522,3.664,0,484.145,0.000,0.000,37.855,1.000,0.000,3,524.533,-3.105,0.000,0.000,0.184470,29.429,524.533,-3.105,0.000,0.000,0.184470,29.429,24.000,524.085,3.534,35
19,387,520,3.805,0,484.145,0.000,0.000,35.855,1.000,0.000,3,524.218,-5.172,20.115,-1.868,0.184404,29.426,524.123,-5.294,20.156,-1.874,0.221218,23.667,18.431,525.269,18.778,35
20,407,525,3.758,0,484.145,0.000,0.000,40.855,1.000,0.000,3,524.362,0.782,20.377,-1.800,0.184386,29.426,524.311,0.877,20.444,-1.801,0.214334,23.689,18.611,525.237,22.095,35
21,427,525,3.719,0,484.316,0.000,0.000,40.684,1.000,0.000,3,524.480,0.638,17.029,-2.100,0.184374,29.425,524.471,0.689,17.110,-2.098,0.231904,21.513,16.524,525.203,22.095,35
