seq,timestamp_ms,tof_distance_mm,tof_signal_rate,tof_range_status,us_distance_mm,encoder_distance_mm,encoder_speed_mms,sensor_disagree,tof_meas_rate,gt_distance_mm,scenario_id,fixed_estimate_mm,fixed_residual,fixed_residual_var,fixed_residual_mean,fixed_kalman_gain,fixed_innovation_cov,cm_estimate_mm,cm_residual,cm_residual_var,cm_residual_mean,cm_kalman_gain,cm_innovation_cov,cm_R,tinyml_estimate_mm,tinyml_R,tinyml_infer_us
0,7,484,0.922,0,0.000,0.000,0.000,484.000,1.000,0.000,2,484.000,0.000,0.000,0.000,0.000000,0.000,484.000,0.000,0.000,0.000,0.000000,0.000,24.000,484.000,24.000,0
1,27,456,0.703,0,490.490,0.000,0.000,34.490,1.000,0.000,2,469.714,-28.000,0.000,0.000,0.510204,49.000,469.714,-28.000,0.000,0.000,0.510204,49.000,24.000,459.174,3.196,35
2,47,475,0.828,0,490.490,0.000,0.000,15.490,1.000,0.000,2,471.594,5.286,0.000,0.000,0.355616,37.245,471.594,5.286,0.000,0.000,0.355616,37.245,24.000,465.726,5.427,35
3,65,465,0.852,0,490.318,0.000,0.000,25.318,1.000,0.000,2,469.719,-6.594,0.000,0.000,0.284325,33.535,469.719,-6.594,0.000,0.000,0.284325,33.535,24.000,465.405,4.093,35
4,85,479,0.758,0,490.318,0.000,0.000,11.318,1.000,0.000,2,472.001,9.281,0.000,0.000,0.245848,31.824,472.001,9.281,0.000,0.000,0.245848,31.824,24.000,470.478,4.722,35
5,105,466,0.812,0,490.318,0.000,0.000,24.318,1.000,0.000,2,470.661,-6.001,0.000,0.000,0.223310,30.900,470.661,-6.001,0.000,0.000,0.223310,30.900,24.000,468.345,3.037,35
6,125,459,0.883,0,490.833,0.000,0.000,31.833,1.000,0.000,2,468.218,-11.661,0.000,0.000,0.209471,30.359,468.218,-11.661,0.000,0.000,0.209471,30.359,24.000,464.175,3.037,35
7,145,476,0.922,0,490.833,0.000,0.000,14.833,1.000,0.000,2,469.780,7.782,0.000,0.000,0.200728,30.027,469.780,7.782,0.000,0.000,0.200728,30.027,24.000,468.363,4.295,35
8,165,466,0.852,0,486.546,0.000,0.000,20.546,1.000,0.000,2,469.043,-3.780,0.000,0.000,0.195103,29.817,469.043,-3.780,0.000,0.000,0.195103,29.817,24.000,467.291,3.037,35
9,185,467,0.867,0,486.546,0.000,0.000,19.546,1.000,0.000,2,468.652,-2.043,0.000,0.000,0.191442,29.682,468.652,-2.043,0.000,0.000,0.191442,29.682,24.000,467.184,4.093,35
10,205,472,0.773,0,486.546,0.000,0.000,14.546,1.000,0.000,2,469.285,3.348,0.000,0.000,0.189041,29.595,469.285,3.348,0.000,0.000,0.189041,29.595,24.000,469.067,3.900,35
11,227,470,0.789,0,486.546,0.000,0.000,16.546,1.000,0.000,2,468.764,1.519,0.000,0.000,0.186414,29.499,468.764,1.519,0.000,0.000,0.186414,29.499,24.000,468.472,4.093,35
12,247,494,0.773,0,486.546,0.000,0.000,7.454,1.000,0.000,2,473.451,25.236,0.000,0.000,0.185721,29.474,473.451,25.236,0.000,0.000,0.185721,29.474,24.000,478.927,3.714,35
13,267,455,0.859,0,486.546,0.000,0.000,31.546,1.000,0.000,2,470.033,-18.451,0.000,0.000,0.185262,29.457,470.033,-18.451,0.000,0.000,0.185262,29.457,24.000,474.748,11.913,35
14,285,464,0.859,0,486.546,0.000,0.000,22.546,1.000,0.000,2,468.917,-6.033,0.000,0.000,0.184956,29.446,468.917,-6.033,0.000,0.000,0.184956,29.446,24.000,470.133,4.093,35
15,305,485,0.867,0,486.546,0.000,0.000,1.546,1.000,0.000,2,471.888,16.083,0.000,0.000,0.184754,29.439,471.888,16.083,0.000,0.000,0.184754,29.439,24.000,476.468,3.714,35
16,325,471,0.820,0,490.490,0.000,0.000,19.490,1.000,0.000,2,471.724,-0.888,0.000,0.000,0.184619,29.434,471.724,-0.888,0.000,0.000,0.184619,29.434,24.000,475.058,7.430,35
17,345,470,0.766,0,490.490,0.000,0.000,20.490,1.000,0.000,2,471.406,-1.724,0.000,0.000,0.184529,29.431,471.406,-1.724,0.000,0.000,0.184529,29.431,24.000,472.833,3.714,35
