seq,timestamp_ms,tof_distance_mm,tof_signal_rate,tof_range_status,us_distance_mm,encoder_distance_mm,encoder_speed_mms,sensor_disagree,tof_meas_rate,gt_distance_mm,scenario_id,fixed_estimate_mm,fixed_residual,fixed_residual_var,fixed_residual_mean,fixed_kalman_gain,fixed_innovation_cov,cm_estimate_mm,cm_residual,cm_residual_var,cm_residual_mean,cm_kalman_gain,cm_innovation_cov,cm_R,tinyml_estimate_mm,tinyml_R,tinyml_infer_us
0,7,542,1.141,0,0.000,0.000,0.000,542.000,1.000,0.000,2,542.000,0.000,0.000,0.000,0.000000,0.000,542.000,0.000,0.000,0.000,0.000000,0.000,24.000,542.000,24.000,0
1,25,536,1.211,0,502.838,0.000,0.000,33.162,1.000,0.000,2,538.939,-6.000,0.000,0.000,0.510204,49.000,538.939,-6.000,0.000,0.000,0.510204,49.000,24.000,536.680,3.196,35
2,45,528,1.172,0,502.838,0.000,0.000,25.162,1.000,0.000,2,535.049,-10.939,0.000,0.000,0.355616,37.245,535.049,-10.939,0.000,0.000,0.355616,37.245,24.000,532.164,3.534,35
3,65,531,1.125,0,502.667,0.000,0.000,28.333,1.000,0.000,2,533.898,-4.049,0.000,0.000,0.284325,33.535,533.898,-4.049,0.000,0.000,0.284325,33.535,24.000,531.645,3.534,35
4,85,548,1.102,0,502.667,0.000,0.000,45.333,1.000,0.000,2,537.365,14.102,0.000,0.000,0.245848,31.824,537.365,14.102,0.000,0.000,0.245848,31.824,24.000,539.149,3.037,35
5,107,516,1.086,0,502.667,0.000,0.000,13.333,1.000,0.000,2,532.119,-20.390,0.000,0.000,0.209471,30.359,532.119,-20.390,0.000,0.000,0.209471,30.359,24.000,528.661,3.900,35
6,127,544,1.125,0,502.667,0.000,0.000,41.333,1.000,0.000,2,534.504,11.881,0.000,0.000,0.200728,30.027,534.504,11.881,0.000,0.000,0.200728,30.027,24.000,534.569,4.093,35
7,147,537,1.016,0,502.667,0.000,0.000,34.333,1.000,0.000,2,534.991,2.496,0.000,0.000,0.195103,29.817,534.991,2.496,0.000,0.000,0.195103,29.817,24.000,535.352,5.427,35
8,165,535,1.062,0,506.268,0.000,0.000,28.732,1.000,0.000,2,534.992,0.009,0.000,0.000,0.191442,29.682,534.992,0.009,0.000,0.000,0.191442,29.682,24.000,535.198,3.534,35
10,205,518,1.094,0,506.268,0.027,0.000,11.732,1.000,0.000,2,532.269,-17.561,0.000,0.000,0.187460,29.537,532.269,-17.561,0.000,0.000,0.187460,29.537,24.000,529.384,3.900,35
11,225,535,1.102,0,506.268,0.054,1.349,28.732,1.000,0.000,2,532.756,2.758,0.000,0.000,0.186414,29.499,532.756,2.758,0.000,0.000,0.186414,29.499,24.000,531.691,3.534,35
12,245,544,1.039,0,506.268,0.081,1.349,37.732,1.000,0.000,2,534.822,11.271,0.000,0.000,0.185721,29.474,534.822,11.271,0.000,0.000,0.185721,29.474,24.000,536.728,3.534,35
13,265,541,1.133,0,506.096,0.135,1.799,34.904,1.000,0.000,2,535.945,6.205,0.000,0.000,0.185262,29.457,535.945,6.205,0.000,0.000,0.185262,29.457,24.000,538.039,5.427,35
14,285,558,1.242,0,506.096,0.270,4.048,51.904,1.000,0.000,2,539.958,22.136,0.000,0.000,0.184956,29.446,539.958,22.136,0.000,0.000,0.184956,29.446,24.000,546.374,3.714,35
15,307,525,1.445,0,506.096,0.432,10.794,18.904,1.000,0.000,2,536.246,-13.792,0.000,0.000,0.184619,29.434,536.246,-13.792,0.000,0.000,0.184619,29.434,24.000,535.722,4.093,35
16,327,538,1.352,0,496.835,0.675,12.143,41.165,1.000,0.000,2,536.372,1.997,0.000,0.000,0.184529,29.431,536.372,1.997,0.000,0.000,0.184529,29.431,24.000,536.576,3.534,35
17,347,534,1.266,0,496.835,0.998,16.191,37.165,1.000,0.000,2,535.670,-2.048,0.000,0.000,0.184470,29.429,535.670,-2.048,0.000,0.000,0.184470,29.429,24.000,535.255,3.196,35
18,365,522,0.906,0,504.724,1.322,14.392,17.276,1.000,0.000,2,532.973,-13.454,115.667,-1.079,0.184430,29.427,534.829,-13.454,115.667,-1.079,0.046454,116.832,111.405,529.747,3.534,35
19,385,472,0.836,0,504.724,1.754,20.239,32.724,1.000,0.000,2,521.399,-60.568,283.958,-3.808,0.184404,29.426,533.180,-62.424,294.658,-3.900,0.019928,309.872,303.697,527.417,70.072,35
20,405,514,0.914,0,504.724,2.267,25.636,9.276,1.000,0.000,2,519.617,-6.886,281.848,-3.605,0.184386,29.426,532.258,-18.668,302.936,-4.287,0.021948,321.313,314.261,526.730,244.684,37
21,425,483,0.734,0,498.722,2.941,30.583,15.722,1.000,0.000,2,512.491,-36.158,332.245,-5.210,0.184374,29.425,530.922,-48.799,396.993,-6.524,0.017966,439.561,431.664,524.996,141.793,37
22,445,488,0.805,0,498.722,3.643,35.081,10.722,1.000,0.000,2,507.404,-23.790,327.266,-7.105,0.184367,29.425,529.508,-42.221,431.501,-9.341,0.016878,518.747,509.991,523.570,254.394,37
23,465,501,0.781,0,492.376,4.480,37.779,8.624,1.000,0.000,2,505.607,-5.648,326.992,-7.169,0.184361,29.425,528.273,-27.753,445.845,-10.510,0.017270,556.305,546.697,522.424,334.001,37
24,485,547,0.984,0,492.376,5.370,43.176,54.624,1.000,0.000,2,512.710,42.041,429.591,-4.048,0.184358,29.425,527.991,19.374,481.665,-8.522,0.018838,554.285,543.844,522.377,285.887,37
25,505,529,1.430,0,492.376,6.395,45.875,36.624,1.000,0.000,2,514.965,17.208,439.423,-3.781,0.184356,29.425,527.113,1.927,466.062,-9.019,0.020542,547.413,536.168,521.631,334.001,37
28,567,503,0.820,0,486.546,9.823,60.716,16.454,1.000,0.000,2,508.514,-6.760,484.729,-3.787,0.184352,29.424,521.709,-19.147,496.199,-11.104,0.022858,619.502,605.342,516.222,321.264,37
29,585,512,0.727,0,486.546,11.172,66.563,25.454,1.000,0.000,2,508.342,4.484,486.000,-3.700,0.184352,29.424,520.503,-8.711,486.549,-11.678,0.023818,622.915,608.079,515.105,297.226,37
30,605,484,0.797,0,486.546,12.602,70.161,2.546,1.000,0.000,2,502.710,-22.939,490.374,-5.411,0.184352,29.424,518.298,-35.100,482.272,-13.996,0.022831,678.164,662.681,512.603,309.012,37
31,625,512,1.047,0,482.430,14.059,72.860,29.570,1.000,0.000,2,503.234,10.747,496.630,-5.184,0.184351,29.424,516.726,-4.841,465.754,-14.548,0.023811,677.411,661.281,511.171,405.644,37
32,645,523,1.297,0,482.430,15.624,77.357,40.570,1.000,0.000,2,505.932,20.926,493.394,-5.244,0.184351,29.424,515.755,7.434,422.088,-15.284,0.025540,655.674,638.928,510.416,405.644,37
33,665,518,1.312,0,478.142,17.270,79.606,39.858,1.000,0.000,2,506.858,13.661,510.400,-4.319,0.184351,29.424,514.265,3.837,434.736,-14.849,0.026430,655.234,637.916,509.072,492.608,37
34,685,494,0.656,0,478.142,19.024,85.003,15.858,1.000,0.000,2,503.101,-11.158,508.234,-4.187,0.184351,29.424,512.065,-18.565,435.314,-15.088,0.026940,662.955,645.095,507.022,532.396,37
35,705,445,0.688,0,478.142,20.805,88.151,33.142,1.000,0.000,2,491.311,-56.779,635.979,-7.126,0.184351,29.424,509.367,-65.742,537.541,-18.475,0.020913,878.858,860.479,503.626,421.715,37
36,725,487,0.875,0,472.311,22.694,90.400,14.689,1.000,0.000,2,489.042,-2.503,635.757,-7.149,0.184351,29.424,507.125,-20.559,523.410,-19.400,0.021110,899.783,880.788,501.521,755.053,37
37,747,471,0.812,0,472.311,24.637,98.945,1.311,1.000,0.000,2,479.784,-10.769,497.118,-5.044,0.184351,29.424,502.175,-31.958,456.592,-19.166,0.024513,823.933,803.736,496.274,455.788,37
38,767,475,0.750,0,476.255,26.661,101.194,1.255,1.000,0.000,2,477.251,-2.760,497.166,-4.837,0.184351,29.424,499.529,-25.151,458.265,-19.490,0.024700,838.137,817.435,493.382,361.004,37
39,785,476,0.633,0,476.255,28.739,104.342,0.255,1.000,0.000,2,475.744,0.314,446.119,-3.014,0.184351,29.424,497.338,-21.964,413.821,-18.149,0.028513,743.191,722.000,491.194,421.715,37
40,805,467,0.664,0,476.255,30.871,105.242,9.255,1.000,0.000,2,472.415,-6.639,424.459,-2.156,0.184351,29.424,494.355,-28.233,389.443,-17.449,0.031108,693.917,672.331,488.236,438.422,37
41,825,500,1.258,0,462.021,33.003,106.591,37.979,1.000,0.000,2,475.762,29.717,471.516,-0.388,0.184351,29.424,492.482,7.777,412.797,-15.673,0.033284,658.431,636.516,486.592,492.608,37
42,845,503,1.484,0,462.021,35.188,109.739,40.979,1.000,0.000,2,479.440,28.884,423.917,-1.046,0.184351,29.424,491.253,12.164,389.997,-16.033,0.034287,647.061,624.875,485.593,492.608,37
43,865,491,1.227,0,456.018,37.401,109.289,34.982,1.000,0.000,2,479.789,13.745,418.166,-1.219,0.184351,29.424,489.134,1.933,390.007,-16.033,0.034656,647.062,624.637,483.645,575.390,37
44,885,517,1.609,0,456.018,39.641,110.639,60.982,1.000,0.000,2,484.844,39.424,484.465,-0.051,0.184351,29.424,487.906,30.079,474.718,-14.725,0.032750,691.533,668.885,482.914,438.422,37
45,905,491,1.180,0,456.018,41.908,113.337,34.982,1.000,0.000,2,484.592,7.856,484.401,-0.055,0.184351,29.424,486.365,4.794,484.710,-14.418,0.033073,692.592,669.686,481.569,512.116,37
48,967,482,1.078,0,439.555,48.843,117.385,42.445,1.000,0.000,2,483.923,-2.358,464.338,4.836,0.184351,29.424,479.523,2.576,566.123,-6.833,0.038667,612.810,589.114,476.321,532.396,37
49,987,494,1.242,0,439.555,51.218,118.734,54.445,1.000,0.000,2,483.844,12.452,465.484,4.922,0.184351,29.424,477.789,16.852,592.795,-5.748,0.037996,625.837,602.057,475.001,361.004,37
50,1005,510,3.195,0,439.555,53.646,120.533,70.445,1.000,0.000,2,487.191,27.964,479.101,5.273,0.184351,29.424,477.174,34.019,661.412,-4.419,0.035063,680.939,657.063,474.628,492.608,37
51,1025,496,2.266,0,433.552,56.075,121.433,62.448,1.000,0.000,2,486.834,11.238,477.347,5.152,0.184351,29.424,475.472,21.255,690.203,-3.548,0.034205,702.792,678.753,472.733,881.850,37
52,1045,494,2.250,0,433.552,58.530,122.782,60.448,1.000,0.000,2,486.152,9.622,463.966,6.191,0.184351,29.424,473.734,20.984,705.108,-1.571,0.034225,707.575,683.358,470.912,755.053,37
53,1065,503,2.625,0,431.322,60.986,122.332,71.678,1.000,0.000,2,487.761,18.683,259.272,9.964,0.184351,29.424,473.305,31.100,529.131,3.272,0.045176,539.834,515.447,469.904,848.285,37
54,1085,494,2.883,0,431.322,63.469,122.782,62.678,1.000,0.000,2,486.909,8.694,251.267,10.524,0.184351,29.424,471.880,23.151,515.719,5.457,0.044521,545.498,521.212,468.449,553.476,37
55,1105,463,1.438,0,431.322,65.978,125.480,31.678,1.000,0.000,2,480.454,-21.399,252.049,10.512,0.184351,29.424,469.042,-6.370,420.136,7.100,0.051439,470.552,446.347,465.795,421.715,37
56,1125,464,1.188,0,424.120,68.542,127.729,39.880,1.000,0.000,2,475.858,-14.538,260.744,10.323,0.184351,29.424,466.948,-3.126,347.009,8.542,0.057050,419.975,396.016,463.883,553.476,37
57,1145,489,1.852,0,424.120,71.105,128.179,64.880,1.000,0.000,2,476.190,15.706,252.781,11.247,0.184351,29.424,465.772,24.616,296.976,11.030,0.056355,418.644,395.051,462.458,512.116,37
58,1167,473,1.180,0,417.431,73.696,129.528,55.569,1.000,0.000,2,471.080,2.354,248.975,11.399,0.184351,29.424,462.271,11.453,156.381,14.352,0.063182,362.373,339.478,459.213,347.241,37
59,1187,467,1.211,0,417.431,76.314,130.877,49.569,1.000,0.000,2,468.193,-1.462,238.040,9.840,0.184351,29.424,460.109,7.347,156.672,14.331,0.062005,362.048,339.599,457.385,264.487,37
60,1207,474,1.477,0,417.431,78.958,132.227,56.569,1.000,0.000,2,467.106,8.452,218.959,8.819,0.184351,29.424,458.454,16.536,156.633,14.550,0.059885,368.322,346.265,456.109,274.980,37
61,1225,441,1.203,0,417.259,81.576,131.327,23.741,1.000,0.000,2,460.687,-24.137,268.461,6.925,0.184351,29.424,455.599,-15.484,193.017,13.679,0.057182,380.123,358.387,453.320,309.012,37
62,1245,442,1.500,0,417.259,84.247,132.227,24.741,1.000,0.000,2,455.085,-16.042,234.333,4.151,0.184351,29.424,452.264,-10.954,205.699,11.627,0.063051,340.887,319.394,450.231,375.311,37
63,1265,441,1.219,0,405.426,86.973,134.925,35.574,1.000,0.000,2,450.287,-11.386,244.792,3.189,0.184351,29.424,449.038,-8.565,223.305,10.959,0.061554,343.406,322.268,447.116,297.226,37
65,1305,439,1.562,0,405.426,92.478,137.624,33.574,1.000,0.000,2,447.994,-11.027,229.134,2.598,0.184351,29.424,445.429,-6.854,219.468,10.568,0.061964,331.153,310.634,443.590,274.980,37
66,1325,458,1.422,0,389.133,95.311,138.523,68.867,1.000,0.000,2,448.144,12.084,218.374,2.203,0.184351,29.424,444.285,14.648,213.635,10.201,0.063735,317.691,297.443,442.355,361.004,37
67,1345,454,1.375,0,389.133,98.144,140.322,64.867,1.000,0.000,2,446.935,8.662,219.117,2.754,0.184351,29.424,442.247,12.521,210.751,10.698,0.061370,325.198,305.240,440.613,244.684,37
68,1367,444,1.461,0,384.331,101.005,142.121,59.669,1.000,0.000,2,439.736,5.227,195.726,0.142,0.184351,29.424,437.020,7.537,200.992,7.913,0.074013,263.613,244.102,435.396,309.012,37
69,1387,417,1.461,0,384.331,103.946,147.068,32.669,1.000,0.000,2,433.146,-19.795,207.038,-1.409,0.184351,29.424,432.805,-17.079,219.649,5.997,0.074593,255.609,236.542,431.234,217.714,37
70,1407,427,1.109,0,384.331,106.915,148.418,42.669,1.000,0.000,2,429.592,-3.177,200.701,-2.049,0.184351,29.424,429.611,-2.837,210.901,4.806,0.079679,233.995,215.351,428.171,226.358,37
71,1425,426,1.414,0,379.529,109.910,149.317,46.471,1.000,0.000,2,427.103,-1.352,178.230,-3.051,0.184351,29.424,427.237,-1.371,175.602,3.182,0.097772,185.727,167.568,425.938,179.180,37
72,1445,425,1.742,0,379.529,112.959,151.116,45.471,1.000,0.000,2,424.250,0.920,171.970,-3.440,0.184351,29.424,424.300,0.785,154.700,2.064,0.109358,158.959,141.576,423.166,126.117,37
