seq,timestamp_ms,tof_distance_mm,tof_signal_rate,tof_range_status,us_distance_mm,encoder_distance_mm,encoder_speed_mms,sensor_disagree,tof_meas_rate,gt_distance_mm,scenario_id,fixed_estimate_mm,fixed_residual,fixed_residual_var,fixed_residual_mean,fixed_kalman_gain,fixed_innovation_cov,cm_estimate_mm,cm_residual,cm_residual_var,cm_residual_mean,cm_kalman_gain,cm_innovation_cov,cm_R,tinyml_estimate_mm,tinyml_R,tinyml_infer_us
0,7,522,2.695,0,0.000,0.000,0.000,522.000,1.000,0.000,4,522.000,0.000,0.000,0.000,0.000000,0.000,522.000,0.000,0.000,0.000,0.000000,0.000,24.000,522.000,24.000,0
1,30,526,2.508,0,500.608,0.000,0.000,25.392,1.000,0.000,4,524.041,4.000,0.000,0.000,0.510204,49.000,524.041,4.000,0.000,0.000,0.510204,49.000,24.000,525.483,3.714,34
2,55,512,2.523,0,500.608,0.000,0.000,11.392,1.000,0.000,4,519.759,-12.041,0.000,0.000,0.355616,37.245,519.759,-12.041,0.000,0.000,0.355616,37.245,24.000,518.465,3.900,34
3,82,510,2.562,0,500.437,0.000,0.000,9.563,1.000,0.000,4,514.838,-6.416,0.000,0.000,0.245848,31.824,514.838,-6.416,0.000,0.000,0.245848,31.824,24.000,512.688,4.295,34
4,105,512,2.602,0,500.437,0.000,0.000,11.563,1.000,0.000,4,514.204,-2.838,0.000,0.000,0.223310,30.900,514.204,-2.838,0.000,0.000,0.223310,30.900,24.000,512.437,4.722,34
5,130,522,2.617,0,500.437,0.000,0.000,21.563,1.000,0.000,4,515.837,7.796,0.000,0.000,0.209471,30.359,515.837,7.796,0.000,0.000,0.209471,30.359,24.000,516.602,3.534,34
6,155,521,2.656,0,500.437,0.000,0.000,20.563,1.000,0.000,4,517.032,4.929,0.000,0.000,0.195103,29.817,517.032,4.929,0.000,0.000,0.195103,29.817,24.000,518.481,3.714,34
9,230,522,2.555,0,500.608,0.000,0.000,21.392,1.000,0.000,4,516.897,6.273,0.000,0.000,0.186414,29.499,516.897,6.273,0.000,0.000,0.186414,29.499,24.000,517.909,3.714,34
10,255,515,2.633,0,500.608,0.000,0.000,14.392,1.000,0.000,4,516.544,-1.897,0.000,0.000,0.185721,29.474,516.544,-1.897,0.000,0.000,0.185721,29.474,24.000,516.770,3.900,34
11,282,526,2.562,0,496.321,0.000,0.000,29.679,1.000,0.000,4,519.872,7.519,0.000,0.000,0.184956,29.446,519.872,7.519,0.000,0.000,0.184956,29.446,24.000,523.143,3.714,34
12,305,520,2.555,0,496.321,0.000,0.000,23.679,1.000,0.000,4,519.896,0.128,0.000,0.000,0.184754,29.439,519.896,0.128,0.000,0.000,0.184754,29.439,24.000,521.736,3.037,34
13,330,515,2.625,0,490.490,0.027,0.000,24.510,1.000,0.000,4,518.992,-4.896,0.000,0.000,0.184619,29.434,518.992,-4.896,0.000,0.000,0.184619,29.434,24.000,519.119,3.714,34
14,357,515,2.555,0,490.490,0.054,1.349,24.510,1.000,0.000,4,519.421,-5.421,0.000,0.000,0.184470,29.429,519.421,-5.421,0.000,0.000,0.184470,29.429,24.000,519.196,3.037,34
15,380,515,2.633,0,490.147,0.081,1.799,24.853,1.000,0.000,4,518.583,-4.394,42.376,-0.314,0.184430,29.427,518.832,-4.394,42.376,-0.314,0.127776,42.475,37.048,517.510,3.534,34
16,405,512,2.586,0,490.147,0.081,0.000,21.853,1.000,0.000,4,517.369,-6.583,43.131,-0.843,0.184404,29.426,517.942,-6.832,43.277,-0.855,0.130287,44.009,38.275,517.163,35.773,34
17,430,517,2.672,0,490.318,0.081,0.000,26.682,1.000,0.000,4,517.246,-0.301,29.592,0.313,0.184374,29.425,517.630,-0.789,29.860,0.248,0.200955,29.922,23.909,517.131,28.142,34
18,455,516,2.719,0,490.318,0.081,0.000,25.682,1.000,0.000,4,517.016,-1.246,27.383,0.572,0.184367,29.425,517.292,-1.630,27.759,0.487,0.207331,27.997,22.192,516.975,28.142,34
19,482,508,2.633,0,490.318,0.081,0.000,17.682,1.000,0.000,4,516.103,-9.935,30.440,0.077,0.184358,29.425,516.390,-10.211,30.876,-0.036,0.178389,30.877,25.369,516.378,33.030,34
20,505,515,2.570,0,490.318,0.081,0.000,24.682,1.000,0.000,4,515.900,-1.103,30.438,-0.037,0.184356,29.425,516.141,-1.390,30.879,-0.163,0.178785,30.906,25.380,516.175,31.736,34
21,530,521,2.625,0,490.318,0.108,0.000,30.682,1.000,0.000,4,516.840,5.100,30.524,-0.028,0.184354,29.425,517.013,4.859,30.843,-0.167,0.179377,30.871,25.334,516.985,28.142,34
22,557,515,2.648,0,490.318,0.270,6.746,24.682,1.000,0.000,4,515.778,-0.953,27.854,0.097,0.184353,29.424,515.907,-1.129,28.292,-0.059,0.196915,28.295,22.724,515.996,29.294,34
23,580,501,2.672,0,488.260,0.594,10.794,12.740,1.000,0.000,4,512.921,-14.616,38.116,-0.650,0.184352,29.424,513.684,-14.745,38.500,-0.813,0.139799,39.161,33.686,513.517,31.736,34
24,605,527,2.641,0,488.260,1.106,17.540,38.740,1.000,0.000,4,515.231,14.430,46.924,-0.242,0.184352,29.424,515.010,13.667,46.336,-0.443,0.122694,46.533,40.823,514.948,40.308,34
25,630,515,2.680,0,488.089,1.808,28.784,26.911,1.000,0.000,4,515.867,-1.063,45.557,-0.263,0.184351,29.424,515.225,-0.261,45.158,-0.413,0.138939,45.329,39.031,515.503,40.308,34
26,655,529,2.695,0,488.089,2.672,32.382,40.911,1.000,0.000,4,517.760,13.780,52.292,0.050,0.184351,29.424,516.328,14.423,52.899,-0.068,0.121408,52.903,46.481,517.224,31.736,34
27,682,505,2.672,0,494.263,3.724,43.176,10.737,1.000,0.000,4,513.342,-10.228,57.840,-0.522,0.184351,29.424,513.222,-9.338,56.823,-0.524,0.119531,57.097,50.272,513.604,35.773,34
28,705,515,2.609,0,494.263,4.992,49.922,20.737,1.000,0.000,4,512.834,2.656,54.611,-0.791,0.184351,29.424,512.582,2.777,53.636,-0.787,0.129189,54.255,47.245,512.942,40.308,34
29,730,512,2.680,0,481.915,6.449,56.668,30.085,1.000,0.000,4,511.755,0.300,53.517,-0.505,0.184351,29.424,511.523,0.551,52.563,-0.488,0.134536,52.801,45.697,511.835,40.308,34
30,757,501,2.844,0,481.915,8.149,68.812,19.085,1.000,0.000,4,509.280,-10.151,59.989,-0.006,0.184351,29.424,509.254,-9.423,58.349,0.072,0.124063,58.354,51.114,509.702,45.401,34
31,780,498,2.711,0,477.970,10.092,76.907,20.030,1.000,0.000,4,505.946,-9.741,64.502,-0.474,0.184351,29.424,506.584,-9.716,62.895,-0.367,0.116476,63.029,55.688,506.645,38.737,34
