seq,timestamp_ms,tof_distance_mm,tof_signal_rate,tof_range_status,us_distance_mm,encoder_distance_mm,encoder_speed_mms,sensor_disagree,tof_meas_rate,gt_distance_mm,scenario_id,fixed_estimate_mm,fixed_residual,fixed_residual_var,fixed_residual_mean,fixed_kalman_gain,fixed_innovation_cov,cm_estimate_mm,cm_residual,cm_residual_var,cm_residual_mean,cm_kalman_gain,cm_innovation_cov,cm_R,tinyml_estimate_mm,tinyml_R,tinyml_infer_us
0,7,537,0.781,0,0.000,0.000,0.000,537.000,1.000,0.000,2,537.000,0.000,0.000,0.000,0.000000,0.000,537.000,0.000,0.000,0.000,0.000000,0.000,24.000,537.000,24.000,0
1,25,518,0.883,0,502.667,0.000,0.000,15.333,1.000,0.000,2,527.306,-19.000,0.000,0.000,0.510204,49.000,527.306,-19.000,0.000,0.000,0.510204,49.000,24.000,520.457,3.714,35
2,45,528,0.867,0,502.667,0.000,0.000,25.333,1.000,0.000,2,527.553,0.694,0.000,0.000,0.355616,37.245,527.553,0.694,0.000,0.000,0.355616,37.245,24.000,523.935,4.948,35
3,65,528,0.867,0,502.667,0.000,0.000,25.333,1.000,0.000,2,527.680,0.447,0.000,0.000,0.284325,33.535,527.680,0.447,0.000,0.000,0.284325,33.535,24.000,525.842,3.714,35
4,85,511,0.727,0,502.667,0.000,0.000,8.333,1.000,0.000,2,523.579,-16.680,0.000,0.000,0.245848,31.824,523.579,-16.680,0.000,0.000,0.245848,31.824,24.000,519.538,3.714,35
5,107,527,0.797,0,502.667,0.000,0.000,24.333,1.000,0.000,2,526.665,0.424,0.000,0.000,0.209471,30.359,526.665,0.424,0.000,0.000,0.209471,30.359,24.000,526.802,4.504,35
6,127,533,0.680,0,502.667,0.054,2.699,30.333,1.000,0.000,2,527.893,6.389,0.000,0.000,0.200728,30.027,527.893,6.389,0.000,0.000,0.200728,30.027,24.000,529.563,3.196,35
9,185,538,0.734,0,502.667,0.243,4.048,35.333,1.000,0.000,2,534.039,4.885,0.000,0.000,0.189041,29.595,534.039,4.885,0.000,0.000,0.189041,29.595,24.000,539.337,11.913,35
10,205,535,0.711,0,502.667,0.405,6.746,32.333,1.000,0.000,2,534.109,1.096,0.000,0.000,0.187460,29.537,534.109,1.096,0.000,0.000,0.187460,29.537,24.000,537.249,3.534,35
11,225,492,0.656,0,502.495,0.648,8.995,10.495,1.000,0.000,2,526.150,-41.974,0.000,0.000,0.186414,29.499,526.150,-41.974,0.000,0.000,0.186414,29.499,24.000,517.813,3.534,35
12,245,566,0.836,0,502.495,0.971,16.191,63.505,1.000,0.000,2,533.287,40.174,0.000,0.000,0.185721,29.474,533.287,40.174,0.000,0.000,0.185721,29.474,24.000,536.495,3.900,35
13,265,548,0.688,0,504.724,1.403,17.540,43.276,1.000,0.000,2,535.727,15.064,0.000,0.000,0.185262,29.457,535.727,15.064,0.000,0.000,0.185262,29.457,24.000,537.158,27.035,35
14,285,532,0.781,0,504.724,1.943,23.387,27.276,1.000,0.000,2,534.752,-3.376,0.000,0.000,0.184956,29.446,534.752,-3.376,0.000,0.000,0.184956,29.446,24.000,535.325,7.430,35
15,305,520,0.727,0,504.724,2.645,29.683,15.276,1.000,0.000,2,531.542,-14.158,0.000,0.000,0.184754,29.439,531.542,-14.158,0.000,0.000,0.184754,29.439,24.000,528.166,4.093,35
16,327,528,0.797,0,502.667,3.454,41.377,25.333,1.000,0.000,2,524.848,3.865,0.000,0.000,0.184529,29.431,524.848,3.865,0.000,0.000,0.184529,29.431,24.000,520.285,5.183,35
17,347,550,0.820,0,502.667,4.426,48.573,47.333,1.000,0.000,2,528.696,26.123,0.000,0.000,0.184470,29.429,528.696,26.123,0.000,0.000,0.184470,29.429,24.000,531.823,4.093,35
18,365,497,0.680,0,494.606,5.586,59.367,2.394,1.000,0.000,2,522.124,-30.805,406.787,-0.906,0.184430,29.427,527.395,-30.805,406.787,-0.906,0.013315,407.609,402.181,525.711,14.674,35
19,385,521,0.578,0,494.606,6.881,62.066,26.394,1.000,0.000,2,520.904,0.118,389.557,0.050,0.184404,29.426,526.070,-5.154,390.841,-0.214,0.016258,390.887,384.532,524.420,226.358,35
20,405,534,0.750,0,494.606,8.311,68.812,39.394,1.000,0.000,2,522.196,14.472,399.462,0.739,0.184386,29.426,524.864,9.306,395.146,0.217,0.018350,395.193,387.941,523.197,297.226,35
