seq,timestamp_ms,tof_distance_mm,tof_signal_rate,tof_range_status,us_distance_mm,encoder_distance_mm,encoder_speed_mms,sensor_disagree,tof_meas_rate,gt_distance_mm,scenario_id,fixed_estimate_mm,fixed_residual,fixed_residual_var,fixed_residual_mean,fixed_kalman_gain,fixed_innovation_cov,cm_estimate_mm,cm_residual,cm_residual_var,cm_residual_mean,cm_kalman_gain,cm_innovation_cov,cm_R,tinyml_estimate_mm,tinyml_R,tinyml_infer_us
0,7,506,2.609,0,0.000,0.000,0.000,506.000,1.000,0.000,4,506.000,0.000,0.000,0.000,0.000000,0.000,506.000,0.000,0.000,0.000,0.000000,0.000,24.000,506.000,24.000,0
1,30,514,2.594,0,498.379,0.000,0.000,15.621,1.000,0.000,4,510.082,8.000,0.000,0.000,0.510204,49.000,510.082,8.000,0.000,0.000,0.510204,49.000,24.000,512.965,3.714,34
2,55,520,2.656,0,498.379,0.000,0.000,21.621,1.000,0.000,4,513.609,9.918,0.000,0.000,0.355616,37.245,513.609,9.918,0.000,0.000,0.355616,37.245,24.000,517.062,3.037,34
3,82,510,2.648,0,494.091,0.000,0.000,15.909,1.000,0.000,4,512.162,-2.867,0.000,0.000,0.245848,31.824,512.162,-2.867,0.000,0.000,0.245848,31.824,24.000,512.831,4.093,34
4,105,510,2.680,0,494.091,0.000,0.000,15.909,1.000,0.000,4,511.679,-2.162,0.000,0.000,0.223310,30.900,511.679,-2.162,0.000,0.000,0.223310,30.900,24.000,511.726,4.093,34
5,130,504,2.570,0,498.551,0.000,0.000,5.449,1.000,0.000,4,510.071,-7.679,0.000,0.000,0.209471,30.359,510.071,-7.679,0.000,0.000,0.209471,30.359,24.000,508.546,3.714,34
6,157,517,2.656,0,498.551,0.000,0.000,18.449,1.000,0.000,4,511.088,7.345,0.000,0.000,0.195103,29.817,511.088,7.345,0.000,0.000,0.195103,29.817,24.000,511.750,4.093,34
7,180,500,2.586,0,498.551,0.000,0.000,1.449,1.000,0.000,4,508.965,-11.088,0.000,0.000,0.191442,29.682,508.965,-11.088,0.000,0.000,0.191442,29.682,24.000,508.279,6.220,34
8,205,499,2.602,0,498.551,0.000,0.000,0.449,1.000,0.000,4,507.082,-9.965,0.000,0.000,0.189041,29.595,507.082,-9.965,0.000,0.000,0.189041,29.595,24.000,504.897,4.948,34
9,230,518,2.594,0,498.379,0.000,0.000,19.621,1.000,0.000,4,511.240,8.309,0.000,0.000,0.186414,29.499,511.240,8.309,0.000,0.000,0.186414,29.499,24.000,513.953,4.295,34
10,255,512,2.570,0,498.379,0.000,0.000,13.621,1.000,0.000,4,511.381,0.760,0.000,0.000,0.185721,29.474,511.381,0.760,0.000,0.000,0.185721,29.474,24.000,513.209,4.295,34
11,282,522,2.586,0,494.263,0.000,0.000,27.737,1.000,0.000,4,514.042,9.763,0.000,0.000,0.184956,29.446,514.042,9.763,0.000,0.000,0.184956,29.446,24.000,517.469,3.714,34
12,305,516,2.656,0,494.263,0.000,0.000,21.737,1.000,0.000,4,514.404,1.958,0.000,0.000,0.184754,29.439,514.404,1.958,0.000,0.000,0.184754,29.439,24.000,516.804,3.037,34
13,330,523,2.680,0,498.551,0.000,0.000,24.449,1.000,0.000,4,515.991,8.596,0.000,0.000,0.184619,29.434,515.991,8.596,0.000,0.000,0.184619,29.434,24.000,519.220,3.714,34
14,357,512,2.586,0,498.551,0.000,0.000,13.449,1.000,0.000,4,513.149,-1.409,0.000,0.000,0.184470,29.429,513.149,-1.409,0.000,0.000,0.184470,29.429,24.000,512.942,4.295,34
15,380,507,2.555,0,498.379,0.000,0.000,8.621,1.000,0.000,4,512.015,-6.149,60.306,0.660,0.184430,29.427,512.600,-6.149,60.306,0.660,0.089351,60.741,55.314,510.476,3.714,34
16,405,508,2.562,0,498.379,0.000,0.000,9.621,1.000,0.000,4,511.275,-4.015,58.343,0.059,0.184404,29.426,512.133,-4.600,58.598,0.030,0.101407,58.599,52.656,510.345,45.401,34
17,430,508,2.617,0,498.379,0.027,1.799,9.621,1.000,0.000,4,510.457,-3.013,53.352,-0.521,0.184374,29.425,511.387,-3.856,53.907,-0.635,0.121416,54.311,47.717,510.068,38.737,34
18,455,524,2.711,0,498.379,0.027,0.000,25.621,1.000,0.000,4,512.954,13.543,62.293,0.300,0.184367,29.425,512.773,12.613,61.834,0.139,0.109833,61.854,55.060,511.580,38.737,34
19,482,506,2.578,0,502.495,0.027,0.000,3.505,1.000,0.000,4,513.032,-8.622,66.347,0.813,0.184358,29.425,512.901,-7.760,65.443,0.704,0.110609,65.939,58.646,511.866,55.325,34
20,505,513,2.602,0,502.495,0.027,0.000,10.505,1.000,0.000,4,513.026,-0.032,65.957,0.915,0.184356,29.425,512.913,0.099,65.065,0.813,0.113910,65.725,58.238,512.007,43.637,34
21,530,516,2.586,0,498.379,0.027,0.000,17.621,1.000,0.000,4,513.575,2.974,64.054,0.696,0.184354,29.425,513.284,3.087,63.144,0.600,0.120211,63.504,55.870,512.470,49.142,34
22,557,519,2.539,0,498.379,0.027,0.000,20.621,1.000,0.000,4,512.985,7.375,59.211,1.589,0.184353,29.424,512.919,6.983,57.905,1.488,0.129177,60.117,52.352,512.382,45.401,34
23,580,516,2.555,0,502.495,0.027,0.000,13.505,1.000,0.000,4,513.541,3.015,51.415,1.044,0.184352,29.424,513.389,3.081,50.012,0.946,0.152490,50.906,43.143,512.818,51.123,34
24,605,515,2.562,0,502.495,0.081,1.799,12.505,1.000,0.000,4,513.788,1.486,48.669,0.703,0.184352,29.424,513.623,1.638,47.213,0.612,0.159262,47.588,40.009,513.092,45.401,34
25,632,526,2.570,0,488.260,0.135,2.699,37.740,1.000,0.000,4,515.708,12.618,55.229,0.977,0.184351,29.424,514.975,12.705,53.883,0.899,0.132241,54.690,47.458,515.176,33.030,34
26,655,517,2.648,0,488.260,0.270,5.397,28.740,1.000,0.000,4,515.880,1.373,51.201,0.557,0.184351,29.424,515.200,2.106,49.880,0.516,0.145095,50.145,42.870,515.371,40.308,34
27,680,528,2.562,0,488.432,0.567,8.095,39.568,1.000,0.000,4,517.983,12.282,57.709,1.073,0.184351,29.424,516.642,12.962,57.218,1.066,0.123729,58.355,51.134,517.067,40.308,34
28,705,517,2.555,0,488.432,1.052,19.789,28.568,1.000,0.000,4,518.134,-1.391,44.509,1.538,0.184351,29.424,516.940,0.071,44.279,1.671,0.156846,47.069,39.687,517.344,40.308,34
29,730,520,2.578,0,496.321,1.673,22.937,23.679,1.000,0.000,4,518.104,2.324,44.070,1.725,0.184351,29.424,517.016,3.518,43.914,1.917,0.151814,47.589,40.364,517.338,40.308,34
30,757,518,2.547,0,496.321,2.537,35.081,21.679,1.000,0.000,4,518.112,-0.137,39.887,2.542,0.184351,29.424,517.127,1.027,39.168,2.877,0.149215,47.443,40.364,517.337,45.401,34
31,780,507,2.672,0,484.145,3.589,43.176,22.855,1.000,0.000,4,515.359,-10.248,47.138,2.094,0.184351,29.424,515.000,-9.263,45.155,2.520,0.136352,51.506,44.483,515.338,51.123,34
32,805,503,2.594,0,484.145,4.911,46.774,18.855,1.000,0.000,4,512.508,-11.658,55.102,1.661,0.184351,29.424,512.901,-11.298,52.531,2.148,0.123638,57.145,50.080,513.057,45.401,34
33,832,508,2.641,0,480.029,6.476,63.415,27.971,1.000,0.000,4,509.680,-2.060,44.653,0.409,0.184351,29.424,510.030,-2.411,44.454,0.896,0.157790,45.256,38.115,510.167,40.308,34
34,855,506,2.648,0,480.029,8.257,68.362,25.971,1.000,0.000,4,508.165,-2.655,40.956,0.707,0.184351,29.424,508.511,-3.005,41.412,1.133,0.164279,42.697,35.683,508.621,35.773,34
35,880,498,2.672,0,475.913,10.308,76.907,22.087,1.000,0.000,4,505.037,-8.627,45.100,0.277,0.184351,29.424,505.655,-8.973,46.260,0.680,0.146866,46.722,39.860,505.752,40.308,34
36,905,499,2.727,0,475.913,12.521,89.950,23.087,1.000,0.000,4,501.705,-3.316,39.499,0.574,0.184351,29.424,502.163,-3.784,40.913,0.901,0.163915,41.725,34.886,502.273,37.226,34
37,930,496,2.680,0,470.081,15.004,95.797,25.919,1.000,0.000,4,499.090,-3.789,37.826,0.015,0.184351,29.424,499.537,-4.247,40.074,0.340,0.167167,40.189,33.471,499.664,35.773,34
38,957,501,2.742,0,470.081,17.648,107.940,30.919,1.000,0.000,4,497.496,4.296,40.481,0.353,0.184351,29.424,497.527,4.106,42.142,0.635,0.154086,42.545,35.989,497.749,33.030,34
39,980,489,2.844,0,471.968,20.509,113.337,17.032,1.000,0.000,4,494.081,-6.229,42.374,0.130,0.184351,29.424,494.337,-6.260,44.216,0.402,0.147496,44.377,37.831,494.588,40.308,34
40,1005,490,2.938,0,471.968,23.612,121.433,18.032,1.000,0.000,4,491.347,-1.652,34.226,-0.584,0.184351,29.42.424,483.609,-8.984,37.504,-2.264,0.153030,42.630,36.106,483.366,35.773,34
42,1055,478,3.016,0,459.792,30.466,141.671,18.208,1.000,0.000,4,479.446,-1.773,31.843,-2.746,0.184351,29.424,480.332,-2.776,33.343,-2.734,0.159862,40.818,34.293,480.171,38.737,34
43,1080,466,3.188,0,445.557,34.163,143.920,20.443,1.000,0.000,4,475.206,-11.287,35.154,-3.241,0.184351,29.424,476.537,-12.173,37.029,-3.346,0.134409,48.227,41.745,476.449,43.637,34
44,1107,479,3.094,0,445.557,38.022,155.164,33.443,1.000,0.000,4,471.050,9.747,38.264,-3.147,0.184351,29.424,471.553,8.637,36.435,-3.488,0.137712,48.603,41.910,471.590,38.737,34
45,1130,473,3.180,0,441.270,42.016,158.312,31.730,1.000,0.000,4,469.473,4.325,40.553,-2.924,0.184351,29.424,469.703,3.822,38.068,-3.349,0.137406,49.281,42.509,469.798,37.226,34
46,1157,464,3.391,0,441.270,46.198,167.307,22.730,1.000,0.000,4,462.501,1.837,35.966,-2.145,0.184351,29.424,462.925,1.284,35.062,-2.677,0.162848,42.227,35.351,463.189,49.142,34
47,1180,453,3.328,0,426.349,50.489,171.355,26.651,1.000,0.000,4,457.955,-6.074,36.505,-2.429,0.184351,29.424,458.507,-6.498,35.534,-2.962,0.152500,44.307,37.550,458.638,35.773,34
48,1205,454,3.375,0,426.349,54.887,174.053,27.651,1.000,0.000,4,454.386,-0.473,36.683,-2.350,0.184351,29.424,454.869,-1.026,35.701,-2.893,0.152634,44.069,37.342,454.981,38.737,34
49,1232,443,3.438,0,423.948,59.394,179.450,19.052,1.000,0.000,4,447.657,-5.709,36.678,-1.906,0.184351,29.424,448.051,-6.012,35.782,-2.453,0.159811,41.799,35.119,448.389,49.142,34
50,1255,446,3.453,0,423.948,64.008,184.847,22.052,1.000,0.000,4,444.336,2.040,36.829,-1.885,0.184351,29.424,444.614,1.646,36.019,-2.422,0.157880,41.883,35.270,444.885,40.308,34
51,1280,438,3.609,0,416.917,68.731,187.096,21.083,1.000,0.000,4,440.879,-3.530,36.862,-1.896,0.184351,29.424,441.211,-3.808,36.022,-2.423,0.156796,41.892,35.323,441.459,38.737,34
52,1307,431,3.812,0,416.917,73.480,190.244,14.083,1.000,0.000,4,431.354,-0.434,35.764,-2.581,0.184351,29.424,431.986,-1.159,34.671,-3.116,0.149123,44.378,37.760,432.140,43.637,34
53,1330,430,3.852,0,393.421,78.310,192.493,36.579,1.000,0.000,4,428.749,1.533,34.226,-2.720,0.184351,29.424,429.236,0.901,32.845,-3.276,0.152170,43.576,36.945,429.382,33.030,34
54,1355,420,4.109,0,393.421,83.168,194.292,26.579,1.000,0.000,4,423.967,-4.863,33.835,-2.651,0.184351,29.424,424.527,-5.350,32.612,-3.230,0.153828,43.047,36.426,424.682,38.737,34
56,1405,412,4.125,0,393.592,93.017,196.991,18.408,1.000,0.000,4,412.168,-0.206,26.104,-1.722,0.184351,29.424,412.414,-0.523,25.117,-2.299,0.208074,30.403,24.077,412.816,40.308,34
57,1432,398,4.414,0,372.498,98.010,199.689,25.502,1.000,0.000,4,402.025,-4.935,27.467,-1.924,0.184351,29.424,402.410,-5.447,25.826,-2.445,0.190300,31.805,25.753,402.454,40.308,34
58,1455,393,4.484,0,372.498,103.029,201.038,20.502,1.000,0.000,4,397.082,-5.004,27.489,-2.214,0.184351,29.424,397.433,-5.389,26.020,-2.688,0.177504,33.243,27.342,397.233,23.008,34
59,1480,390,4.672,0,360.664,108.129,202.387,29.336,1.000,0.000,4,392.475,-3.034,19.962,-2.853,0.184351,29.424,392.726,-3.385,19.271,-3.289,0.194553,30.086,24.233,392.519,23.008,36
60,1507,376,4.773,0,360.664,113.283,206.435,15.336,1.000,0.000,4,383.350,-9.012,17.862,-3.181,0.184351,29.424,383.493,-9.202,17.215,-3.602,0.185743,30.188,24.581,383.799,35.773,34
61,1530,380,5.047,0,352.775,118.491,206.885,27.225,1.000,0.000,4,380.202,-0.247,17.022,-3.285,0.184351,29.424,380.317,-0.389,16.530,-3.686,0.184826,30.113,24.548,380.565,25.969,34
62,1555,373,4.898,0,352.775,123.726,209.134,20.225,1.000,0.000,4,375.462,-3.019,16.613,-3.132,0.184351,29.424,375.526,-3.135,16.122,-3.517,0.194325,28.494,22.957,375.905,35.773,34
63,1580,366,5.250,0,344.715,128.961,208.684,21.285,1.000,0.000,4,367.392,-1.707,14.208,-3.472,0.184351,29.424,367.413,-1.745,13.940,-3.811,0.190513,28.461,23.039,367.791,31.736,34
64,1605,356,5.383,0,344.715,134.250,211.832,11.285,1.000,0.000,4,361.837,-7.156,14.631,-3.544,0.184351,29.424,361.853,-7.176,14.261,-3.869,0.184382,29.229,23.840,361.400,15.294,36
65,1632,354,5.711,0,323.449,139.512,210.483,30.551,1.000,0.000,4,353.687,0.383,13.882,-3.682,0.184351,29.424,353.719,0.344,13.647,-3.976,0.184389,29.452,24.022,353.253,18.026,34
66,1655,342,5.953,0,323.449,144.775,210.483,18.551,1.000,0.000,4,348.099,-7.478,12.525,-3.551,0.184351,29.424,347.990,-7.509,12.165,-3.829,0.202363,26.830,21.400,347.369,15.938,34
67,1680,339,6.133,0,307.671,150.064,211.832,31.329,1.000,0.000,4,342.966,-4.863,12.077,-3.772,0.184351,29.424,342.845,-4.753,11.819,-4.009,0.191116,27.892,22.561,342.236,17.303,36
