seq,timestamp_ms,tof_distance_mm,tof_signal_rate,tof_range_status,us_distance_mm,encoder_distance_mm,encoder_speed_mms,sensor_disagree,tof_meas_rate,gt_distance_mm,scenario_id,fixed_estimate_mm,fixed_residual,fixed_residual_var,fixed_residual_mean,fixed_kalman_gain,fixed_innovation_cov,cm_estimate_mm,cm_residual,cm_residual_var,cm_residual_mean,cm_kalman_gain,cm_innovation_cov,cm_R,tinyml_estimate_mm,tinyml_R,tinyml_infer_us
0,7,518,2.688,0,0.000,0.000,0.000,518.000,1.000,0.000,4,518.000,0.000,0.000,0.000,0.000000,0.000,518.000,0.000,0.000,0.000,0.000000,0.000,24.000,518.000,24.000,0
1,30,514,2.531,0,490.490,0.000,0.000,23.510,1.000,0.000,4,515.959,-4.000,0.000,0.000,0.510204,49.000,515.959,-4.000,0.000,0.000,0.510204,49.000,24.000,514.517,3.714,34
2,55,515,2.523,0,490.490,0.000,0.000,24.510,1.000,0.000,4,515.618,-0.959,0.000,0.000,0.355616,37.245,515.618,-0.959,0.000,0.000,0.355616,37.245,24.000,514.780,3.534,34
3,82,522,2.688,0,490.490,0.000,0.000,31.510,1.000,0.000,4,515.554,8.548,0.000,0.000,0.245848,31.824,515.554,8.548,0.000,0.000,0.245848,31.824,24.000,516.154,3.534,34
4,105,513,2.656,0,490.490,0.000,0.000,22.510,1.000,0.000,4,514.983,-2.554,0.000,0.000,0.223310,30.900,514.983,-2.554,0.000,0.000,0.223310,30.900,24.000,514.726,3.037,34
5,130,509,2.656,0,490.318,0.000,0.000,18.682,1.000,0.000,4,513.730,-5.983,0.000,0.000,0.209471,30.359,513.730,-5.983,0.000,0.000,0.209471,30.359,24.000,512.624,4.093,34
6,155,512,2.688,0,490.318,0.000,0.000,21.682,1.000,0.000,4,514.244,-2.788,0.000,0.000,0.195103,29.817,514.244,-2.788,0.000,0.000,0.195103,29.817,24.000,514.219,4.093,34
7,180,512,2.695,0,490.318,0.000,0.000,21.682,1.000,0.000,4,513.814,-2.244,0.000,0.000,0.191442,29.682,513.814,-2.244,0.000,0.000,0.191442,29.682,24.000,513.299,3.534,34
8,207,517,2.594,0,490.318,0.000,0.000,26.682,1.000,0.000,4,514.594,2.962,0.000,0.000,0.187460,29.537,514.594,2.962,0.000,0.000,0.187460,29.537,24.000,515.301,3.196,34
9,230,513,2.695,0,490.318,0.000,0.000,22.682,1.000,0.000,4,514.297,-1.594,0.000,0.000,0.186414,29.499,514.297,-1.594,0.000,0.000,0.186414,29.499,24.000,514.454,4.093,34
10,255,520,2.672,0,490.318,0.000,0.000,29.682,1.000,0.000,4,515.356,5.703,0.000,0.000,0.185721,29.474,515.356,5.703,0.000,0.000,0.185721,29.474,24.000,516.892,3.196,34
11,282,512,2.688,0,490.147,0.000,0.000,21.853,1.000,0.000,4,517.097,-6.254,0.000,0.000,0.184956,29.446,517.097,-6.254,0.000,0.000,0.184956,29.446,24.000,519.842,7.430,34
12,305,515,2.539,0,490.147,0.000,0.000,24.853,1.000,0.000,4,516.710,-2.097,0.000,0.000,0.184754,29.439,516.710,-2.097,0.000,0.000,0.184754,29.439,24.000,517.855,4.093,34
13,330,522,2.609,0,490.318,0.000,0.000,31.682,1.000,0.000,4,517.687,5.290,0.000,0.000,0.184619,29.434,517.687,5.290,0.000,0.000,0.184619,29.434,24.000,519.798,3.037,34
14,357,524,2.672,0,490.318,0.000,0.000,33.682,1.000,0.000,4,517.393,8.101,0.000,0.000,0.184470,29.429,517.393,8.101,0.000,0.000,0.184470,29.429,24.000,518.781,3.534,34
17,430,511,2.594,0,490.318,0.027,0.000,20.682,1.000,0.000,4,515.588,-5.625,40.287,0.493,0.184374,29.425,515.859,-5.713,40.231,0.452,0.149532,40.435,34.389,515.189,33.030,34
18,455,507,2.586,0,490.318,0.027,0.000,16.682,1.000,0.000,4,514.005,-8.588,40.433,-0.364,0.184367,29.425,514.522,-8.859,40.530,-0.419,0.150893,40.706,34.563,514.304,37.226,34
19,482,523,2.711,0,490.147,0.027,0.000,32.853,1.000,0.000,4,516.565,7.890,42.785,0.757,0.184358,29.425,516.456,7.665,42.585,0.665,0.146255,43.027,36.734,516.096,33.030,34
20,505,520,2.594,0,490.147,0.027,0.000,29.853,1.000,0.000,4,517.198,3.435,42.117,0.666,0.184356,29.425,516.991,3.544,41.932,0.579,0.150771,42.267,35.894,516.669,33.030,34
21,530,521,2.664,0,490.147,0.027,0.000,30.853,1.000,0.000,4,517.899,3.802,41.904,0.995,0.184354,29.425,517.593,4.009,41.838,0.919,0.150223,42.682,36.270,517.277,35.773,34
22,557,506,2.578,0,490.147,0.027,0.000,15.853,1.000,0.000,4,514.969,-10.996,49.753,0.253,0.184353,29.424,515.477,-10.912,49.329,0.196,0.131509,49.368,42.876,515.160,37.226,34
23,580,524,2.562,0,490.147,0.027,0.000,33.853,1.000,0.000,4,516.634,9.031,53.147,0.557,0.184352,29.424,516.553,8.523,52.336,0.475,0.126300,52.562,45.923,516.355,40.308,34
24,605,507,2.562,0,490.147,0.027,0.000,16.853,1.000,0.000,4,514.858,-9.634,57.947,0.155,0.184352,29.424,515.414,-9.553,56.992,0.077,0.119304,56.998,50.198,515.270,49.142,34
25,630,508,2.648,0,490.490,0.027,0.000,17.510,1.000,0.000,4,512.261,-5.225,46.781,-1.617,0.184351,29.424,513.400,-6.313,46.400,-1.777,0.144720,49.558,42.386,513.115,43.637,34
26,655,506,2.609,0,490.490,0.027,0.000,15.510,1.000,0.000,4,511.107,-6.261,46.785,-1.617,0.184351,29.424,512.351,-7.400,46.975,-1.834,0.141718,50.340,43.206,512.050,38.737,34
27,682,517,2.609,0,494.263,0.135,3.598,22.737,1.000,0.000,4,513.451,4.351,51.493,-1.112,0.184351,29.424,513.786,3.723,50.356,-1.423,0.136831,52.381,45.213,513.643,41.940,34
28,705,502,2.609,0,494.263,0.351,8.095,7.737,1.000,0.000,4,511.208,-11.289,52.989,-1.192,0.184351,29.424,512.090,-11.624,52.136,-1.520,0.131996,54.445,47.259,511.921,43.637,34
29,730,513,2.656,0,484.145,0.756,14.842,28.855,1.000,0.000,4,511.296,2.089,49.119,-1.493,0.184351,29.424,511.964,1.207,47.761,-1.864,0.141265,51.237,43.999,511.812,43.637,34
32,805,512,2.672,0,486.374,3.427,41.377,25.626,1.000,0.000,4,509.350,3.248,49.239,-0.967,0.184351,29.424,509.724,2.658,47.921,-1.392,0.143772,49.857,42.689,509.723,40.308,34
33,830,520,2.734,0,482.086,4.803,55.769,37.914,1.000,0.000,4,510.233,11.974,52.190,-0.108,0.184351,29.424,509.864,11.737,51.299,-0.523,0.136399,51.573,44.538,510.252,33.030,34
34,855,505,2.719,0,482.086,6.422,62.066,22.914,1.000,0.000,4,508.256,-3.992,49.393,-0.702,0.184351,29.424,508.103,-3.623,48.109,-1.088,0.143533,49.292,42.217,508.516,47.235,34
35,882,496,2.867,0,472.139,8.230,75.558,23.861,1.000,0.000,4,502.181,-7.578,54.380,-2.038,0.184351,29.424,503.125,-8.127,52.022,-2.459,0.123346,58.070,50.907,503.139,45.401,34
36,905,505,2.922,0,472.139,10.281,80.955,32.861,1.000,0.000,4,501.380,4.438,55.849,-1.571,0.184351,29.424,501.947,3.494,53.403,-2.055,0.126318,57.626,50.347,501.935,51.123,34
37,930,496,2.883,0,468.023,12.521,87.701,27.977,1.000,0.000,4,498.958,-3.626,51.484,-1.203,0.184351,29.424,499.606,-4.193,49.597,-1.719,0.140047,52.552,45.192,499.555,40.308,34
38,957,491,2.945,0,468.023,15.031,99.844,22.977,1.000,0.000,4,494.015,-3.696,43.411,-1.584,0.184351,29.424,494.736,-4.424,42.062,-2.148,0.155552,46.674,39.414,494.776,40.308,34
39,980,481,2.930,0,459.792,17.756,109.289,21.208,1.000,0.000,4,489.832,-10.829,45.029,-1.682,0.184351,29.424,490.866,-11.550,43.831,-2.254,0.145786,48.914,41.783,490.869,40.308,34
40,1005,495,2.961,0,459.792,20.671,113.337,35.208,1.000,0.000,4,489.398,6.868,47.691,-1.078,0.184351,29.424,490.017,5.834,45.910,-1.647,0.145845,48.622,41.531,489.974,43.637,34
41,1032,478,3.023,0,451.731,23.801,125.480,26.269,1.000,0.000,4,483.009,-6.141,42.356,-1.620,0.184351,29.424,483.698,-6.729,40.991,-2.131,0.153300,45.531,38.551,483.568,35.773,34
42,1055,478,3.133,0,451.731,27.093,129.528,26.269,1.000,0.000,4,480.501,-3.066,40.540,-1.991,0.184351,29.424,481.185,-3.755,39.270,-2.505,0.151723,45.543,38.633,481.110,40.308,34
43,1080,471,3.211,0,437.496,30.547,134.925,33.504,1.000,0.000,4,476.548,-6.802,37.324,-1.767,0.184351,29.424,477.251,-7.487,36.309,-2.298,0.164983,41.589,34.728,477.421,43.637,34
45,1130,459,3.375,0,431.151,37.941,148.418,27.849,1.000,0.000,4,465.949,-8.520,34.060,-2.797,0.184351,29.424,466.788,-9.136,33.392,-3.336,0.147557,44.519,37.950,466.924,38.737,34
46,1157,454,3.484,0,431.151,41.908,158.312,22.849,1.000,0.000,4,457.629,-4.450,34.513,-3.393,0.184351,29.424,458.946,-5.710,34.264,-3.990,0.133689,50.185,43.476,459.055,43.637,34
47,1180,448,3.383,0,423.948,46.009,163.259,24.052,1.000,0.000,4,453.191,-6.364,32.944,-3.843,0.184351,29.424,454.692,-7.681,32.753,-4.487,0.128818,52.883,46.070,454.863,51.123,34
48,1205,444,3.648,0,423.948,50.219,167.307,20.052,1.000,0.000,4,449.450,-6.681,19.967,-4.775,0.184351,29.424,451.032,-8.182,19.284,-5.483,0.140542,49.342,42.408,451.372,53.183,34
49,1232,436,3.789,0,412.115,54.645,178.101,23.885,1.000,0.000,4,439.179,-3.897,21.722,-4.878,0.184351,29.424,441.479,-6.284,22.221,-5.809,0.128008,55.971,48.806,441.326,43.637,34
50,1255,436,3.906,0,412.115,59.205,179.900,23.885,1.000,0.000,4,436.392,-0.480,22.199,-4.523,0.184351,29.424,438.401,-2.781,22.339,-5.542,0.136605,53.055,45.807,438.268,45.401,34
51,1280,428,3.938,0,395.993,63.873,184.847,32.007,1.000,0.000,4,431.829,-4.695,17.977,-4.980,0.184351,29.424,433.814,-6.704,18.064,-6.052,0.132699,54.691,47.434,433.668,45.401,34
52,1305,423,4.070,0,395.993,68.650,190.694,27.007,1.000,0.000,4,425.381,-2.919,21.862,-4.521,0.184351,29.424,426.836,-4.441,21.076,-5.708,0.136233,53.652,46.343,426.726,45.401,34
53,1330,414,4.047,0,383.988,73.561,194.292,30.012,1.000,0.000,4,420.113,-7.495,22.234,-4.710,0.184351,29.424,421.795,-8.950,21.468,-5.934,0.129033,56.679,49.366,421.623,45.401,34
54,1357,411,4.375,0,383.988,78.526,199.689,27.012,1.000,0.000,4,411.379,-0.465,15.465,-4.993,0.184351,29.424,413.078,-2.405,14.647,-6.310,0.135838,54.459,47.062,412.965,38.737,34
55,1380,398,4.484,0,370.268,83.600,202.387,27.732,1.000,0.000,4,405.611,-9.332,15.832,-5.358,0.184351,29.424,407.676,-11.031,14.913,-6.729,0.122816,60.194,52.801,406.554,25.969,34
56,1405,407,4.617,0,370.268,88.835,207.785,36.732,1.000,0.000,4,402.478,5.544,21.404,-4.774,0.184351,29.424,403.965,3.480,19.863,-6.219,0.127869,58.535,51.050,403.364,24.943,36
57,1432,391,4.844,0,370.097,94.124,211.832,20.903,1.000,0.000,4,393.230,-2.734,21.584,-4.783,0.184351,29.424,394.926,-4.497,19.952,-6.322,0.126998,59.918,52.308,394.736,51.123,34
58,1455,380,4.875,0,370.097,99.548,215.880,9.903,1.000,0.000,4,387.270,-8.913,22.133,-5.092,0.184351,29.424,389.360,-10.608,20.329,-6.680,0.117675,64.951,57.308,389.416,64.771,34
59,1480,375,4.992,0,357.921,105.053,219.478,17.079,1.000,0.000,4,382.322,-8.977,22.592,-5.388,0.184351,29.424,384.850,-11.068,20.714,-7.048,0.110014,70.388,62.644,384.924,59.865,34
60,1507,368,5.320,0,357.921,110.585,221.277,10.079,1.000,0.000,4,372.328,-5.306,21.205,-4.732,0.184351,29.424,374.633,-7.594,19.867,-6.559,0.126561,62.890,54.931,374.958,72.881,34
61,1530,364,5.422,0,344.715,116.197,224.875,19.285,1.000,0.000,4,368.041,-4.955,21.202,-4.757,0.184351,29.424,370.357,-7.260,19.849,-6.637,0.124454,63.896,55.943,370.636,55.325,34
62,1557,349,5.711,0,344.715,121.810,224.875,4.285,1.000,0.000,4,357.891,-10.901,23.285,-4.728,0.184351,29.424,360.459,-13.004,22.080,-6.688,0.118777,66.804,58.870,360.461,49.142,34
63,1580,343,5.781,0,323.620,127.450,226.674,19.380,1.000,0.000,4,351.448,-10.358,20.491,-4.543,0.184351,29.424,354.284,-12.926,20.007,-6.552,0.126984,62.940,54.948,354.189,51.123,34
64,1605,347,6.055,0,323.620,133.117,223.976,23.380,1.000,0.000,4,346.974,0.031,21.478,-4.347,0.184351,29.424,349.440,-2.805,20.676,-6.378,0.130012,61.359,53.382,349.322,47.235,37
65,1632,338,6.477,0,310.415,138.703,223.976,27.585,1.000,0.000,4,338.656,-0.805,21.716,-4.207,0.184351,29.424,340.640,-3.041,20.839,-6.258,0.131990,60.004,52.084,340.595,55.325,34
66,1655,334,6.688,0,310.415,144.316,225.325,23.585,1.000,0.000,4,334.122,-0.150,19.172,-4.412,0.184351,29.424,335.854,-2.133,18.268,-6.463,0.131158,60.039,52.164,335.820,53.183,34
67,1680,332,6.680,0,297.210,149.902,223.076,34.790,1.000,0.000,4,331.002,1.224,20.606,-4.204,0.184351,29.424,332.440,-0.507,19.798,-6.266,0.132764,59.065,51.223,332.414,53.183,34
68,1707,316,7.219,0,297.210,155.461,222.626,18.790,1.000,0.000,4,319.988,-4.889,19.074,-3.944,0.184351,29.424,321.545,-6.465,18.477,-6.000,0.142372,54.477,46.721,321.592,47.235,34
69,1730,307,7.305,0,280.060,161.046,223.076,26.940,1.000,0.000,4,314.864,-9.642,19.881,-4.403,0.184351,29.424,316.781,-11.199,18.988,-6.440,0.126563,60.458,52.806,316.818,53.183,34
70,1755,310,7.438,0,280.060,166.605,223.976,29.940,1.000,0.000,4,310.314,-0.385,19.274,-3.956,0.184351,29.424,311.978,-2.302,18.600,-6.003,0.140619,54.639,46.956,312.020,49.142,34
71,1780,286,8.164,0,288.634,172.191,223.076,2.634,1.000,0.000,4,298.908,-15.825,20.435,-4.853,0.184351,29.424,301.475,-17.447,19.488,-6.887,0.113019,66.916,59.354,298.569,19.560,34
72,1805,294,8.289,0,288.634,177.723,222.626,5.366,1.000,0.000,4,294.371,-0.455,21.164,-4.739,0.184351,29.424,296.671,-3.023,19.943,-6.813,0.116152,66.362,58.654,294.102,43.637,34
73,1832,285,8.844,0,259.137,183.282,222.626,25.863,1.000,0.000,4,286.447,-1.775,20.723,-3.886,0.184351,29.424,288.201,-3.726,19.597,-5.983,0.140970,55.397,47.587,286.285,55.325,34
74,1855,274,9.070,0,259.137,188.760,218.579,14.863,1.000,0.000,4,280.587,-8.076,21.026,-4.245,0.184351,29.424,282.559,-9.829,19.907,-6.304,0.129247,59.641,51.933,280.968,53.183,34
75,1880,277,9.320,0,247.475,194.157,217.679,29.525,1.000,0.000,4,277.263,-0.322,21.677,-3.995,0.184351,29.424,278.983,-2.294,20.557,-6.038,0.135252,57.020,49.308,277.617,53.183,34
76,1907,265,9.938,0,247.475,199.500,214.531,17.525,1.000,0.000,4,267.706,-3.318,21.558,-3.934,0.184351,29.424,269.219,-4.888,20.574,-5.911,0.136931,55.510,47.909,268.233,47.235,34
77,1930,260,10.273,0,235.641,204.843,214.081,24.359,1.000,0.000,4,263.666,-4.495,19.045,-3.614,0.184351,29.424,265.078,-6.007,17.937,-5.561,0.154733,48.860,41.299,264.285,43.637,34
78,1955,259,10.711,0,235.641,210.159,213.181,23.359,1.000,0.000,4,259.328,-0.403,17.039,-3.116,0.184351,29.424,260.485,-1.814,15.618,-5.005,0.181712,40.671,33.280,259.873,43.637,34
79,1980,246,11.312,0,229.810,215.394,208.684,16.190,1.000,0.000,4,250.247,-5.207,16.540,-3.504,0.184351,29.424,251.231,-6.230,15.353,-5.237,0.160245,42.779,35.924,249.921,18.778,34
80,2005,247,11.688,0,229.810,220.548,206.435,17.190,1.000,0.000,4,246.281,0.881,17.131,-3.419,0.184351,29.424,247.086,-0.103,16.409,-5.090,0.159666,42.317,35.560,246.066,19.560,34
81,2032,244,12.281,0,210.602,225.649,203.287,33.398,1.000,0.000,4,239.983,4.925,19.499,-3.235,0.184351,29.424,240.409,4.243,20.043,-4.794,0.153860,43.023,36.403,239.559,38.737,34
82,2055,234,12.789,0,210.602,230.668,201.038,23.398,1.000,0.000,4,235.600,-1.962,18.978,-3.005,0.184351,29.424,235.996,-2.389,19.744,-4.514,0.164540,40.118,33.517,235.338,40.308,34
83,2080,226,13.227,0,200.998,235.579,197.890,25.002,1.000,0.000,4,231.409,-6.632,19.451,-3.092,0.184351,29.424,231.897,-7.027,19.869,-4.542,0.160872,40.497,33.982,231.390,34.375,34
84,2107,223,14.109,0,200.998,240.382,191.594,22.002,1.000,0.000,4,223.317,-0.389,17.266,-2.685,0.184351,29.424,223.637,-0.779,18.149,-4.005,0.182865,34.189,27.937,223.375,34.375,34
85,2130,221,14.461,0,200.826,245.078,187.096,20.174,1.000,0.000,4,220.601,0.489,17.650,-2.466,0.184351,29.424,220.862,0.170,18.819,-3.719,0.187104,32.649,26.540,220.634,35.773,34
86,2155,211,15.094,0,200.826,249.611,184.847,10.174,1.000,0.000,4,215.816,-5.904,9.072,-1.970,0.184351,29.424,215.262,-6.165,9.377,-3.155,0.308634,19.329,13.364,215.831,28.142,34
87,2180,203,15.938,0,178.360,254.010,178.101,24.640,1.000,0.000,4,208.613,-6.882,10.360,-2.250,0.184351,29.424,208.143,-6.625,11.318,-3.151,0.223697,21.246,16.494,208.039,12.954,34
88,2205,201,16.445,0,178.360,258.354,174.053,22.640,1.000,0.000,4,204.370,-4.132,10.512,-2.368,0.184351,29.424,203.853,-3.662,11.314,-3.148,0.220971,21.222,16.533,203.600,12.954,34
89,2232,201,17.391,0,178.360,262.645,172.704,22.640,1.000,0.000,4,199.601,1.715,11.688,-1.610,0.184351,29.424,199.709,1.720,13.091,-2.177,0.249390,17.830,13.384,199.517,12.423,34
90,2255,196,17.898,0,178.360,266.909,170.006,17.640,1.000,0.000,4,196.164,-0.201,11.773,-1.521,0.184351,29.424,196.231,-0.309,13.122,-2.008,0.252881,17.153,12.815,196.082,10.058,34
91,2280,190,18.430,0,165.154,271.145,170.905,24.846,1.000,0.000,4,192.937,-3.600,11.828,-1.535,0.184351,29.424,192.732,-3.667,12.842,-1.947,0.254992,16.631,12.390,192.550,10.495,34
92,2307,185,20.047,0,165.154,275.328,167.307,19.846,1.000,0.000,4,185.607,-0.745,11.403,-1.456,0.184351,29.424,185.266,-0.363,12.085,-1.692,0.268553,14.947,10.933,185.160,9.638,34
93,2330,179,20.250,0,162.068,279.538,169.106,16.932,1.000,0.000,4,182.320,-4.071,11.398,-1.455,0.184351,29.424,181.700,-3.729,11.654,-1.616,0.275920,14.265,10.329,181.581,9.233,34
94,2355,178,20.195,0,162.068,283.747,167.307,15.932,1.000,0.000,4,178.795,-0.974,10.661,-1.243,0.184351,29.424,178.244,-0.354,10.583,-1.322,0.312223,12.331,8.481,178.164,8.470,34
95,2380,168,20.648,0,158.809,287.930,169.106,9.191,1.000,0.000,4,172.089,-5.014,11.180,-1.503,0.184351,29.424,171.440,-4.685,11.346,-1.448,0.265863,13.443,9.869,171.285,8.844,34
96,2405,171,20.859,0,158.809,292.113,167.307,12.191,1.000,0.000,4,169.159,2.257,9.803,-1.636,0.184351,29.424,168.906,2.906,10.670,-1.515,0.279505,12.965,9.341,168.869,8.110,34
97,2432,162,20.156,0,145.089,296.295,167.307,16.911,1.000,0.000,4,162.640,-0.785,8.593,-1.386,0.184351,29.424,162.223,-0.340,9.130,-1.189,0.342233,10.544,6.936,162.099,8.470,34
98,2455,164,21.039,0,145.089,300.478,167.307,18.911,1.000,0.000,4,160.162,4.706,10.352,-1.076,0.184351,29.424,160.359,5.123,10.964,-0.834,0.289344,11.659,8.286,160.151,9.233,34
99,2480,156,22.562,0,141.831,304.607,165.958,14.169,1.000,0.000,4,156.687,-0.842,10.330,-1.099,0.184351,29.424,156.738,-1.040,10.966,-0.847,0.290800,11.683,8.286,156.534,6.220,34
100,2507,149,22.180,0,141.831,308.681,163.259,7.169,1.000,0.000,4,150.419,-1.739,9.056,-0.977,0.184351,29.424,150.082,-1.645,9.518,-0.693,0.342175,9.999,6.577,149.948,5.945,34
101,2530,145,21.977,0,124.680,312.702,160.111,20.320,1.000,0.000,4,147.461,-3.017,8.829,-1.216,0.184351,29.424,146.817,-2.681,9.197,-0.944,0.322247,10.087,6.837,146.782,7.110,34
102,2555,142,22.586,0,124.680,316.615,159.212,17.320,1.000,0.000,4,143.857,-2.277,7.227,-0.986,0.184351,29.424,142.981,-1.633,7.544,-0.694,0.399077,8.026,4.823,143.166,8.470,34
104,2605,136,22.156,0,121.422,324.360,155.164,14.578,1.000,0.000,4,135.131,1.066,4.728,-1.165,0.184351,29.424,134.960,1.794,5.181,-0.808,0.420215,5.834,3.382,134.934,6.220,34
105,2632,129,22.953,0,118.163,328.165,152.915,10.837,1.000,0.000,4,129.931,-1.141,4.807,-0.936,0.184351,29.424,129.803,-1.454,5.147,-0.578,0.447386,5.480,3.028,129.819,6.220,34
106,2655,123,22.867,0,118.163,331.996,153.814,4.837,1.000,0.000,4,126.144,-3.855,5.097,-1.000,0.184351,29.424,125.239,-3.727,5.479,-0.646,0.399371,5.897,3.542,125.460,5.945,34
107,2680,120,22.266,0,111.303,335.801,152.465,8.697,1.000,0.000,4,122.524,-3.095,5.299,-1.118,0.184351,29.424,121.327,-2.189,5.586,-0.737,0.393899,6.130,3.715,121.711,7.430,34
108,2707,120,21.602,0,111.303,339.525,149.767,8.697,1.000,0.000,4,116.994,3.685,6.854,-0.945,0.184351,29.424,116.254,5.514,7.570,-0.462,0.320613,7.783,5.288,116.610,7.430,34
109,2730,111,22.258,0,94.325,343.276,149.317,16.675,1.000,0.000,4,114.062,-3.755,7.090,-1.161,0.184351,29.424,113.021,-3.014,7.731,-0.668,0.329636,8.177,5.481,113.215,6.220,34
110,2755,111,22.320,0,94.325,346.946,148.418,16.675,1.000,0.000,4,111.077,-0.094,6.344,-0.915,0.184351,29.424,110.426,0.948,6.975,-0.386,0.393997,7.124,4.317,110.450,8.470,34
111,2780,110,23.211,0,101.185,350.670,149.317,8.815,1.000,0.000,4,106.163,4.704,7.469,-0.807,0.184351,29.424,106.102,5.730,8.260,-0.240,0.319718,8.318,5.658,106.025,7.430,34
112,2805,101,23.891,0,101.185,354.340,145.719,0.185,1.000,0.000,4,102.834,-2.248,7.567,-0.880,0.184351,29.424,102.469,-2.188,8.441,-0.332,0.328501,8.551,5.742,102.514,8.110,34
113,2832,103,23.180,0,80.948,357.956,143.920,22.052,1.000,0.000,4,98.570,5.431,7.997,-0.847,0.184351,29.424,98.955,5.841,8.832,-0.270,0.307439,8.905,6.167,98.988,7.430,34
114,2855,101,22.344,0,80.948,361.545,144.370,20.052,1.000,0.000,4,96.663,5.317,9.782,-0.519,0.184351,29.424,97.490,4.933,10.038,0.040,0.288469,10.039,7.143,97.786,6.220,34
115,2880,95,22.398,0,74.603,365.053,142.121,20.397,1.000,0.000,4,94.618,0.469,9.744,-0.409,0.184351,29.424,95.248,-0.358,9.899,0.105,0.308829,9.910,6.850,95.435,6.220,34
116,2907,90,22.141,0,74.603,368.534,138.973,15.397,1.000,0.000,4,88.806,1.464,9.662,-0.213,0.184351,29.424,89.054,1.375,10.067,0.216,0.312385,10.114,6.954,89.063,6.505,34
117,2930,87,22.711,0,68.086,371.934,136.724,18.914,1.000,0.000,4,86.800,0.245,9.657,-0.164,0.184351,29.424,87.002,-0.003,10.069,0.208,0.313710,10.113,6.940,87.008,6.220,34
119,2980,78,22.828,0,61.740,378.465,127.729,16.260,1.000,0.000,4,79.586,-1.945,9.668,-0.245,0.184351,29.424,79.524,-2.224,10.105,0.005,0.314736,10.105,6.925,79.507,6.220,34
