seq,timestamp_ms,tof_distance_mm,tof_signal_rate,tof_range_status,us_distance_mm,encoder_distance_mm,encoder_speed_mms,sensor_disagree,tof_meas_rate,gt_distance_mm,scenario_id,fixed_estimate_mm,fixed_residual,fixed_residual_var,fixed_residual_mean,fixed_kalman_gain,fixed_innovation_cov,cm_estimate_mm,cm_residual,cm_residual_var,cm_residual_mean,cm_kalman_gain,cm_innovation_cov,cm_R,tinyml_estimate_mm,tinyml_R,tinyml_infer_us
0,7,528,3.586,0,0.000,0.000,0.000,528.000,1.000,0.000,3,528.000,0.000,0.000,0.000,0.000000,0.000,528.000,0.000,0.000,0.000,0.000000,0.000,24.000,528.000,24.000,0
1,25,529,3.758,0,486.202,0.000,0.000,42.798,1.000,0.000,3,528.510,1.000,0.000,0.000,0.510204,49.000,528.510,1.000,0.000,0.000,0.510204,49.000,24.000,528.887,3.196,35
2,45,527,3.664,0,486.202,0.000,0.000,40.798,1.000,0.000,3,527.973,-1.510,0.000,0.000,0.355616,37.245,527.973,-1.510,0.000,0.000,0.355616,37.245,24.000,527.858,3.196,35
3,65,529,3.688,0,486.374,0.000,0.000,42.626,1.000,0.000,3,528.265,1.027,0.000,0.000,0.284325,33.535,528.265,1.027,0.000,0.000,0.284325,33.535,24.000,528.385,3.196,35
4,87,527,3.781,0,486.374,0.000,0.000,40.626,1.000,0.000,3,527.359,-0.462,0.000,0.000,0.223310,30.900,527.359,-0.462,0.000,0.000,0.223310,30.900,24.000,526.951,2.735,35
5,107,530,3.641,0,486.374,0.000,0.000,43.626,1.000,0.000,3,527.912,2.641,0.000,0.000,0.209471,30.359,527.912,2.641,0.000,0.000,0.209471,30.359,24.000,528.219,3.196,35
6,125,526,3.672,0,486.374,0.000,0.000,39.626,1.000,0.000,3,527.528,-1.912,0.000,0.000,0.200728,30.027,527.528,-1.912,0.000,0.000,0.200728,30.027,24.000,527.364,3.714,35
7,145,531,3.695,0,486.374,0.000,0.000,44.626,1.000,0.000,3,528.206,3.472,0.000,0.000,0.195103,29.817,528.206,3.472,0.000,0.000,0.195103,29.817,24.000,528.803,3.714,35
8,165,514,3.602,0,486.374,0.000,0.000,27.626,1.000,0.000,3,525.486,-14.206,0.000,0.000,0.191442,29.682,525.486,-14.206,0.000,0.000,0.191442,29.682,24.000,522.891,3.714,35
9,185,529,3.641,0,486.374,0.000,0.000,42.626,1.000,0.000,3,526.150,3.514,0.000,0.000,0.189041,29.595,526.150,3.514,0.000,0.000,0.189041,29.595,24.000,525.412,3.534,35
10,205,526,3.625,0,486.374,0.000,0.000,39.626,1.000,0.000,3,526.122,-0.150,0.000,0.000,0.187460,29.537,526.122,-0.150,0.000,0.000,0.187460,29.537,24.000,525.646,3.714,35
11,225,527,3.586,0,486.202,0.000,0.000,40.798,1.000,0.000,3,526.286,0.878,0.000,0.000,0.186414,29.499,526.286,0.878,0.000,0.000,0.186414,29.499,24.000,526.237,3.196,35
12,245,529,3.633,0,486.202,0.000,0.000,42.798,1.000,0.000,3,526.790,2.714,0.000,0.000,0.185721,29.474,526.790,2.714,0.000,0.000,0.185721,29.474,24.000,527.421,3.196,35
13,265,522,3.672,0,486.031,0.000,0.000,35.969,1.000,0.000,3,525.903,-4.790,0.000,0.000,0.185262,29.457,525.903,-4.790,0.000,0.000,0.185262,29.457,24.000,525.245,3.534,35
14,287,519,3.586,0,486.031,0.000,0.000,32.969,1.000,0.000,3,525.245,-7.660,0.000,0.000,0.184754,29.439,525.245,-7.660,0.000,0.000,0.184754,29.439,24.000,524.149,3.534,35
15,307,531,3.609,0,486.031,0.000,0.000,44.969,1.000,0.000,3,526.308,5.755,0.000,0.000,0.184619,29.434,526.308,5.755,0.000,0.000,0.184619,29.434,24.000,526.911,3.534,35
16,327,525,3.633,0,486.202,0.000,0.000,38.798,1.000,0.000,3,526.066,-1.308,0.000,0.000,0.184529,29.431,526.066,-1.308,0.000,0.000,0.184529,29.431,24.000,526.156,3.714,35
17,345,522,3.641,0,486.202,0.000,0.000,35.798,1.000,0.000,3,525.316,-4.066,0.000,0.000,0.184470,29.429,525.316,-4.066,0.000,0.000,0.184470,29.429,24.000,524.346,3.196,35
18,365,523,3.633,0,486.717,0.000,0.000,36.283,1.000,0.000,3,524.889,-2.316,20.083,-0.827,0.184430,29.427,524.711,-2.316,20.083,-0.827,0.261338,20.767,15.340,523.770,3.196,35
19,385,520,3.688,0,486.717,0.000,0.000,33.283,1.000,0.000,3,523.987,-4.889,20.654,-1.122,0.184404,29.426,523.630,-4.711,20.588,-1.113,0.229484,21.827,16.818,523.282,15.938,35
20,405,529,3.672,0,486.717,0.000,0.000,42.283,1.000,0.000,3,524.912,5.013,22.421,-0.796,0.184386,29.426,524.757,5.370,22.563,-0.769,0.209868,23.155,18.295,524.056,19.560,35
21,425,527,3.656,0,486.202,0.000,0.000,40.798,1.000,0.000,3,525.297,2.088,22.668,-0.743,0.184374,29.425,525.222,2.243,22.852,-0.708,0.207232,23.354,18.514,524.551,18.026,35
22,445,519,3.672,0,486.202,0.000,0.000,32.798,1.000,0.000,3,524.136,-6.297,23.870,-0.894,0.184367,29.425,524.006,-6.222,24.023,-0.856,0.195374,24.756,19.919,523.536,18.026,35
23,465,519,3.703,0,486.374,0.000,0.000,32.626,1.000,0.000,3,523.189,-5.136,24.705,-1.128,0.184361,29.425,523.064,-5.006,24.825,-1.083,0.188155,25.998,21.107,522.573,15.938,35
24,485,528,3.688,0,486.374,0.000,0.000,41.626,1.000,0.000,3,524.076,4.811,25.747,-1.019,0.184358,29.425,523.977,4.936,25.930,-0.968,0.185029,26.868,21.896,523.567,19.560,35
25,507,531,3.719,0,486.374,0.000,0.000,44.626,1.000,0.000,3,526.093,6.016,28.720,-0.550,0.184354,29.425,525.961,6.115,28.973,-0.490,0.175893,29.213,24.075,525.630,25.969,35
26,527,526,3.586,0,486.202,0.000,0.000,39.798,1.000,0.000,3,526.076,-0.093,18.909,0.155,0.184353,29.425,525.972,0.039,19.073,0.223,0.273732,19.123,13.888,525.691,24.943,35
27,545,528,3.625,0,486.202,0.000,0.000,41.798,1.000,0.000,3,526.430,1.924,18.495,0.076,0.184353,29.424,526.492,2.028,18.689,0.148,0.256619,18.711,13.910,526.308,14.078,35
29,585,535,3.578,0,486.374,0.000,0.000,48.626,1.000,0.000,3,528.697,7.727,22.063,0.654,0.184352,29.424,529.034,7.464,21.968,0.711,0.200728,22.473,17.962,529.094,15.938,35
30,605,524,3.578,0,486.374,0.000,0.000,37.626,1.000,0.000,3,527.831,-4.697,23.145,0.284,0.184352,29.424,528.042,-5.034,23.268,0.323,0.197051,23.372,18.767,527.984,16.607,35
32,645,528,3.641,0,486.202,0.000,0.000,41.798,1.000,0.000,3,527.587,0.506,21.356,0.252,0.184351,29.424,527.699,0.385,21.526,0.275,0.218232,21.602,16.887,527.641,15.938,35
33,665,523,3.820,0,486.031,0.000,0.000,36.969,1.000,0.000,3,526.741,-4.587,19.373,0.406,0.184351,29.424,526.585,-4.699,19.592,0.423,0.236978,19.771,15.086,526.506,14.078,35
34,685,528,3.562,0,486.031,0.000,0.000,41.969,1.000,0.000,3,526.973,1.259,17.928,0.181,0.184351,29.424,526.941,1.415,18.173,0.206,0.251162,18.215,13.640,526.832,15.938,35
35,707,521,3.641,0,486.031,0.000,0.000,34.969,1.000,0.000,3,525.726,-5.794,18.762,0.111,0.184351,29.424,525.403,-5.712,18.958,0.142,0.229106,18.979,14.630,525.291,14.078,35
36,727,516,3.719,0,486.374,0.000,0.000,29.626,1.000,0.000,3,523.933,-9.726,23.169,-0.259,0.184351,29.424,523.634,-9.403,23.086,-0.212,0.188141,23.131,18.779,523.299,15.938,35
37,747,529,3.594,0,486.374,0.000,0.000,42.626,1.000,0.000,3,524.867,5.067,23.267,0.239,0.184351,29.424,524.671,5.366,23.376,0.292,0.193218,23.461,18.928,524.618,14.674,35
38,765,521,3.547,0,486.202,0.000,0.000,34.798,1.000,0.000,3,524.154,-3.867,22.774,-0.205,0.184351,29.424,523.917,-3.671,22.667,-0.160,0.205228,22.693,18.036,523.784,14.674,35
