seq,timestamp_ms,tof_distance_mm,tof_signal_rate,tof_range_status,us_distance_mm,encoder_distance_mm,encoder_speed_mms,sensor_disagree,tof_meas_rate,gt_distance_mm,scenario_id,fixed_estimate_mm,fixed_residual,fixed_residual_var,fixed_residual_mean,fixed_kalman_gain,fixed_innovation_cov,cm_estimate_mm,cm_residual,cm_residual_var,cm_residual_mean,cm_kalman_gain,cm_innovation_cov,cm_R,tinyml_estimate_mm,tinyml_R,tinyml_infer_us
0,7,488,0.844,0,0.000,0.000,0.000,488.000,1.000,0.000,2,488.000,0.000,0.000,0.000,0.000000,0.000,488.000,0.000,0.000,0.000,0.000000,0.000,24.000,488.000,24.000,0
1,25,461,0.812,0,494.606,0.000,0.000,33.606,1.000,0.000,2,474.224,-27.000,0.000,0.000,0.510204,49.000,474.224,-27.000,0.000,0.000,0.510204,49.000,24.000,464.061,3.196,35
3,65,485,0.859,0,494.606,0.000,0.000,9.606,1.000,0.000,2,472.396,17.612,0.000,0.000,0.284325,33.535,472.396,17.612,0.000,0.000,0.284325,33.535,24.000,468.812,5.427,35
4,85,465,0.789,0,494.606,0.000,0.000,29.606,1.000,0.000,2,470.577,-7.396,0.000,0.000,0.245848,31.824,470.577,-7.396,0.000,0.000,0.245848,31.824,24.000,467.731,7.430,35
5,105,470,0.805,0,494.606,0.000,0.000,24.606,1.000,0.000,2,470.448,-0.577,0.000,0.000,0.223310,30.900,470.448,-0.577,0.000,0.000,0.223310,30.900,24.000,468.710,4.093,35
6,127,446,0.711,0,494.606,0.000,0.000,48.606,1.000,0.000,2,465.801,-24.773,0.000,0.000,0.200728,30.027,465.801,-24.773,0.000,0.000,0.200728,30.027,24.000,460.217,3.714,35
7,147,452,0.875,0,494.606,0.000,0.000,42.606,1.000,0.000,2,463.108,-13.801,0.000,0.000,0.195103,29.817,463.108,-13.801,0.000,0.000,0.195103,29.817,24.000,457.175,4.295,35
8,167,454,0.867,0,494.606,0.000,0.000,40.606,1.000,0.000,2,461.364,-9.108,0.000,0.000,0.191442,29.682,461.364,-9.108,0.000,0.000,0.191442,29.682,24.000,455.832,3.534,35
9,185,478,0.828,0,494.606,0.000,0.000,16.606,1.000,0.000,2,464.509,16.636,0.000,0.000,0.189041,29.595,464.509,16.636,0.000,0.000,0.189041,29.595,24.000,464.226,4.093,35
10,205,467,0.766,0,494.606,0.000,0.000,27.606,1.000,0.000,2,464.976,2.491,0.000,0.000,0.187460,29.537,464.976,2.491,0.000,0.000,0.187460,29.537,24.000,464.935,7.430,35
11,225,487,0.781,0,494.777,0.000,0.000,7.777,1.000,0.000,2,469.082,22.024,0.000,0.000,0.186414,29.499,469.082,22.024,0.000,0.000,0.186414,29.499,24.000,473.826,4.295,35
