seq,timestamp_ms,tof_distance_mm,tof_signal_rate,tof_range_status,us_distance_mm,encoder_distance_mm,encoder_speed_mms,sensor_disagree,tof_meas_rate,gt_distance_mm,scenario_id,fixed_estimate_mm,fixed_residual,fixed_residual_var,fixed_residual_mean,fixed_kalman_gain,fixed_innovation_cov,cm_estimate_mm,cm_residual,cm_residual_var,cm_residual_mean,cm_kalman_gain,cm_innovation_cov,cm_R,tinyml_estimate_mm,tinyml_R,tinyml_infer_us
0,7,520,3.586,0,0.000,0.000,0.000,520.000,1.000,0.000,2,520.000,0.000,0.000,0.000,0.000000,0.000,520.000,0.000,0.000,0.000,0.000000,0.000,24.000,520.000,24.000,0
1,25,528,3.672,0,502.323,0.000,0.000,25.677,1.000,0.000,2,524.082,8.000,0.000,0.000,0.510204,49.000,524.082,8.000,0.000,0.000,0.510204,49.000,24.000,520.238,815.995,35
2,45,525,3.742,0,502.323,0.000,0.000,22.677,1.000,0.000,2,524.408,0.918,0.000,0.000,0.355616,37.245,524.408,0.918,0.000,0.000,0.355616,37.245,24.000,524.489,3.037,35
3,67,533,3.641,0,502.495,0.000,0.000,30.505,1.000,0.000,2,526.862,8.139,0.000,0.000,0.245848,31.824,526.862,8.139,0.000,0.000,0.245848,31.824,24.000,528.904,3.196,35
6,125,520,3.719,0,492.548,0.000,0.000,27.452,1.000,0.000,2,522.777,-3.474,0.000,0.000,0.200728,30.027,522.777,-3.474,0.000,0.000,0.200728,30.027,24.000,521.286,3.037,35
7,145,526,3.641,0,492.548,0.000,0.000,33.452,1.000,0.000,2,523.406,3.223,0.000,0.000,0.195103,29.817,523.406,3.223,0.000,0.000,0.195103,29.817,24.000,523.306,3.196,35
8,165,522,3.656,0,492.548,0.000,0.000,29.452,1.000,0.000,2,523.136,-1.406,0.000,0.000,0.191442,29.682,523.136,-1.406,0.000,0.000,0.191442,29.682,24.000,522.797,3.714,35
9,185,519,3.695,0,492.548,0.000,0.000,26.452,1.000,0.000,2,522.354,-4.136,0.000,0.000,0.189041,29.595,522.354,-4.136,0.000,0.000,0.189041,29.595,24.000,521.151,3.196,35
10,205,523,3.578,0,492.548,0.000,0.000,30.452,1.000,0.000,2,522.476,0.646,0.000,0.000,0.187460,29.537,522.476,0.646,0.000,0.000,0.187460,29.537,24.000,521.964,3.037,35
11,225,519,3.586,0,502.495,0.000,0.000,16.505,1.000,0.000,2,521.828,-3.476,0.000,0.000,0.186414,29.499,521.828,-3.476,0.000,0.000,0.186414,29.499,24.000,520.713,3.196,35
12,245,511,3.625,0,502.495,0.000,0.000,8.505,1.000,0.000,2,519.817,-10.828,0.000,0.000,0.185721,29.474,519.817,-10.828,0.000,0.000,0.185721,29.474,24.000,516.949,3.714,35
13,267,528,3.766,0,488.603,0.000,0.000,39.397,1.000,0.000,2,521.962,7.408,0.000,0.000,0.184956,29.446,521.962,7.408,0.000,0.000,0.184956,29.446,24.000,523.044,3.714,35
14,287,513,3.688,0,488.603,0.000,0.000,24.397,1.000,0.000,2,520.306,-8.962,0.000,0.000,0.184754,29.439,520.306,-8.962,0.000,0.000,0.184754,29.439,24.000,518.524,3.037,35
15,307,524,3.727,0,488.603,0.000,0.000,35.397,1.000,0.000,2,520.988,3.694,0.000,0.000,0.184619,29.434,520.988,3.694,0.000,0.000,0.184619,29.434,24.000,520.720,3.534,35
